# deliveryTime  hopCount
45.0000 3
163.0000 4
120.0000 7
276.0000 8
79.0000 6
179.0000 7
180.0000 5
148.0000 5
221.0000 4
228.0000 6
251.0000 11
252.0000 5
276.0000 7
319.0000 6
153.0000 6
206.0000 5
211.0000 3
248.0000 6
124.0000 5
123.0000 3
620.0000 6
229.0000 6
251.0000 2
272.0000 5
274.0000 7
321.0000 7
2172.0000 4
2437.0000 4
2175.0000 7
2185.0000 5
2453.0000 6
350.0000 6
1904.0000 7
2193.0000 7
1787.0000 7
1793.0000 8
370.0000 6
2235.0000 7
1830.0000 7
1611.0000 6
2244.0000 7
2245.0000 6
1838.0000 5
2519.0000 3
1626.0000 7
2259.0000 5
1632.0000 4
2271.0000 5
2272.0000 8
2536.0000 6
2536.0000 5
1643.0000 7
2536.0000 4
1866.0000 6
139.0000 5
2549.0000 5
2292.0000 6
2294.0000 5
1890.0000 7
1892.0000 6
1671.0000 4
1895.0000 5
1673.0000 7
2303.0000 6
1898.0000 7
1899.0000 5
2307.0000 7
2573.0000 8
2310.0000 6
1680.0000 6
2573.0000 6
2313.0000 4
1907.0000 7
2316.0000 6
2320.0000 6
2320.0000 5
1912.0000 6
1691.0000 7
1913.0000 5
2585.0000 9
1693.0000 11
2587.0000 4
2324.0000 6
2326.0000 7
2326.0000 6
2591.0000 7
2328.0000 7
2329.0000 5
2330.0000 6
2330.0000 5
1924.0000 2
2332.0000 4
1702.0000 7
2596.0000 3
1926.0000 6
1927.0000 6
1927.0000 5
1928.0000 7
1929.0000 5
1708.0000 3
1708.0000 4
1933.0000 5
1713.0000 8
2607.0000 7
2344.0000 5
1939.0000 6
2348.0000 5
1941.0000 6
2350.0000 6
1942.0000 5
1722.0000 8
1722.0000 4
2353.0000 7
1945.0000 6
2353.0000 6
1945.0000 6
2355.0000 4
1726.0000 5
1948.0000 6
2357.0000 5
1729.0000 7
1952.0000 6
2360.0000 6
1952.0000 8
2362.0000 6
401.0000 6
2627.0000 7
1736.0000 7
1960.0000 5
1961.0000 5
2369.0000 5
1740.0000 5
2634.0000 4
1742.0000 10
2374.0000 6
1744.0000 8
2374.0000 5
2375.0000 5
1968.0000 6
2376.0000 4
1969.0000 8
1969.0000 5
1749.0000 7
1971.0000 6
2642.0000 7
1750.0000 5
2382.0000 5
1976.0000 5
2384.0000 5
1976.0000 3
1755.0000 4
2385.0000 5
1978.0000 6
1979.0000 7
1980.0000 7
1759.0000 6
2652.0000 5
2391.0000 5
2654.0000 5
2655.0000 3
1762.0000 6
1986.0000 8
1986.0000 3
1987.0000 2
1988.0000 6
1767.0000 7
2661.0000 5
2398.0000 6
1991.0000 5
1769.0000 6
2401.0000 6
2665.0000 8
1773.0000 5
2666.0000 7
1774.0000 6
1996.0000 7
1996.0000 6
1997.0000 2
1998.0000 6
1776.0000 5
1777.0000 6
1777.0000 10
1779.0000 9
1779.0000 7
2410.0000 7
2673.0000 5
2411.0000 7
2411.0000 6
2675.0000 8
2005.0000 5
2006.0000 6
2415.0000 7
2416.0000 5
1788.0000 6
2419.0000 6
1790.0000 7
2684.0000 8
2015.0000 8
2015.0000 6
2423.0000 6
2423.0000 7
1794.0000 6
2426.0000 5
2018.0000 6
1796.0000 6
2427.0000 7
2690.0000 8
2020.0000 6
1798.0000 8
2428.0000 5
2428.0000 6
2429.0000 7
2023.0000 5
1803.0000 7
1804.0000 6
2026.0000 6
2027.0000 5
2436.0000 5
2028.0000 5
2149.0000 7
1807.0000 7
2030.0000 6
1809.0000 6
2031.0000 8
997.0000 5
1811.0000 6
1217.0000 5
2705.0000 7
1814.0000 8
38.0000 4
2037.0000 5
1002.0000 4
2037.0000 6
1223.0000 7
1818.0000 6
1007.0000 6
2452.0000 5
1824.0000 8
1825.0000 6
1825.0000 6
2457.0000 5
2723.0000 6
1830.0000 3
1831.0000 5
1237.0000 8
1831.0000 7
1238.0000 6
2055.0000 5
2464.0000 6
1240.0000 5
1836.0000 7
2730.0000 8
2059.0000 7
1838.0000 6
2731.0000 7
2060.0000 6
1027.0000 5
1841.0000 7
2734.0000 9
1250.0000 6
1844.0000 5
2737.0000 8
2067.0000 9
2475.0000 5
1034.0000 7
1848.0000 7
1036.0000 9
1255.0000 8
2744.0000 9
2073.0000 5
1258.0000 5
2486.0000 7
1263.0000 6
1857.0000 7
1047.0000 5
2490.0000 6
2083.0000 6
2491.0000 6
2084.0000 6
2493.0000 5
2756.0000 5
2756.0000 6
1863.0000 5
1051.0000 5
2494.0000 4
2088.0000 6
1866.0000 7
2760.0000 7
2089.0000 5
2091.0000 5
1276.0000 6
2500.0000 5
2095.0000 5
1281.0000 6
2770.0000 6
2771.0000 8
1069.0000 5
1288.0000 7
1072.0000 5
1888.0000 5
1888.0000 7
1076.0000 5
2521.0000 5
2785.0000 5
1304.0000 7
2121.0000 6
1902.0000 5
1902.0000 7
1902.0000 3
2535.0000 7
1905.0000 5
1311.0000 6
2799.0000 6
2537.0000 5
1094.0000 5
1095.0000 6
2801.0000 10
1098.0000 6
2134.0000 6
1318.0000 7
2134.0000 7
2135.0000 5
1320.0000 6
1915.0000 7
1916.0000 7
2142.0000 7
1921.0000 7
2553.0000 7
1110.0000 3
2145.0000 5
1330.0000 5
2554.0000 4
1336.0000 6
1930.0000 7
