# time  hit_cache  total_cache  hit_cache/total_cache
94.0000 0 0 NaN
98.0000 0 0 NaN
101.0000 0 0 NaN
104.0000 0 0 NaN
107.0000 0 0 NaN
107.0000 0 0 NaN
110.0000 0 0 NaN
110.0000 0 0 NaN
110.0000 0 0 NaN
113.0000 0 0 NaN
115.0000 0 0 NaN
116.0000 0 0 NaN
117.0000 0 0 NaN
119.0000 0 0 NaN
120.0000 0 0 NaN
122.0000 0 0 NaN
123.0000 0 0 NaN
125.0000 0 0 NaN
126.0000 0 0 NaN
127.0000 0 0 NaN
129.0000 0 0 NaN
130.0000 1 0 Infinity
130.0000 1 0 Infinity
131.0000 1 0 Infinity
132.0000 1 0 Infinity
134.0000 1 0 Infinity
134.0000 1 0 Infinity
135.0000 1 0 Infinity
135.0000 1 0 Infinity
135.0000 1 0 Infinity
137.0000 1 0 Infinity
138.0000 1 0 Infinity
138.0000 1 0 Infinity
140.0000 1 0 Infinity
140.0000 1 0 Infinity
141.0000 1 0 Infinity
141.0000 1 0 Infinity
142.0000 1 0 Infinity
142.0000 1 0 Infinity
143.0000 1 0 Infinity
144.0000 1 0 Infinity
144.0000 1 0 Infinity
145.0000 1 0 Infinity
147.0000 1 0 Infinity
149.0000 1 0 Infinity
149.0000 1 0 Infinity
150.0000 1 0 Infinity
151.0000 1 0 Infinity
151.0000 1 0 Infinity
152.0000 1 0 Infinity
152.0000 1 0 Infinity
153.0000 1 0 Infinity
153.0000 1 0 Infinity
154.0000 1 0 Infinity
154.0000 1 0 Infinity
156.0000 1 0 Infinity
156.0000 1 0 Infinity
157.0000 1 0 Infinity
158.0000 1 0 Infinity
159.0000 1 0 Infinity
160.0000 1 0 Infinity
160.0000 1 0 Infinity
161.0000 1 0 Infinity
162.0000 1 0 Infinity
163.0000 1 0 Infinity
163.0000 1 0 Infinity
165.0000 1 0 Infinity
166.0000 1 0 Infinity
168.0000 1 0 Infinity
168.0000 1 0 Infinity
168.0000 1 0 Infinity
169.0000 1 0 Infinity
169.0000 1 0 Infinity
171.0000 1 0 Infinity
171.0000 1 0 Infinity
172.0000 1 0 Infinity
172.0000 1 0 Infinity
173.0000 1 0 Infinity
175.0000 1 0 Infinity
182.0000 1 0 Infinity
182.0000 1 0 Infinity
185.0000 1 0 Infinity
185.0000 1 0 Infinity
185.0000 1 0 Infinity
185.0000 1 0 Infinity
186.0000 1 0 Infinity
187.0000 1 0 Infinity
189.0000 1 0 Infinity
190.0000 1 0 Infinity
192.0000 1 0 Infinity
192.0000 1 0 Infinity
192.0000 1 0 Infinity
195.0000 1 0 Infinity
198.0000 1 0 Infinity
198.0000 1 0 Infinity
203.0000 1 0 Infinity
204.0000 1 0 Infinity
205.0000 1 0 Infinity
207.0000 1 0 Infinity
207.0000 1 0 Infinity
217.0000 1 0 Infinity
218.0000 1 0 Infinity
220.0000 1 0 Infinity
221.0000 1 0 Infinity
223.0000 1 0 Infinity
231.0000 1 0 Infinity
237.0000 1 0 Infinity
240.0000 1 0 Infinity
241.0000 1 0 Infinity
244.0000 1 0 Infinity
244.0000 1 0 Infinity
248.0000 1 0 Infinity
249.0000 1 0 Infinity
249.0000 1 0 Infinity
263.0000 1 0 Infinity
273.0000 1 0 Infinity
282.0000 1 0 Infinity
283.0000 1 0 Infinity
288.0000 1 0 Infinity
295.0000 1 0 Infinity
297.0000 1 0 Infinity
352.0000 1 0 Infinity
360.0000 1 0 Infinity
369.0000 1 0 Infinity
377.0000 1 0 Infinity
380.0000 1 0 Infinity
390.0000 1 0 Infinity
395.0000 1 0 Infinity
399.0000 1 0 Infinity
402.0000 1 0 Infinity
402.0000 1 0 Infinity
405.0000 1 0 Infinity
411.0000 1 0 Infinity
416.0000 1 0 Infinity
419.0000 1 0 Infinity
420.0000 1 0 Infinity
423.0000 1 0 Infinity
423.0000 1 0 Infinity
429.0000 1 0 Infinity
431.0000 1 0 Infinity
432.0000 1 0 Infinity
434.0000 1 0 Infinity
435.0000 1 0 Infinity
440.0000 1 0 Infinity
441.0000 1 0 Infinity
445.0000 1 0 Infinity
446.0000 1 0 Infinity
448.0000 1 0 Infinity
448.0000 1 0 Infinity
450.0000 1 0 Infinity
451.0000 1 0 Infinity
452.0000 1 0 Infinity
453.0000 1 0 Infinity
454.0000 1 0 Infinity
454.0000 1 0 Infinity
454.0000 1 0 Infinity
455.0000 1 0 Infinity
457.0000 1 0 Infinity
459.0000 1 0 Infinity
459.0000 1 0 Infinity
460.0000 1 0 Infinity
461.0000 1 0 Infinity
463.0000 1 0 Infinity
464.0000 1 0 Infinity
466.0000 1 0 Infinity
468.0000 1 0 Infinity
469.0000 1 0 Infinity
469.0000 1 0 Infinity
471.0000 1 0 Infinity
471.0000 1 0 Infinity
472.0000 1 0 Infinity
473.0000 1 0 Infinity
474.0000 1 0 Infinity
478.0000 1 0 Infinity
479.0000 1 0 Infinity
484.0000 1 0 Infinity
485.0000 1 0 Infinity
485.0000 1 0 Infinity
487.0000 1 0 Infinity
488.0000 1 0 Infinity
494.0000 1 0 Infinity
495.0000 1 0 Infinity
498.0000 1 0 Infinity
502.0000 1 0 Infinity
502.0000 1 0 Infinity
503.0000 1 0 Infinity
506.0000 1 0 Infinity
507.0000 1 0 Infinity
509.0000 1 0 Infinity
509.0000 1 0 Infinity
509.0000 1 0 Infinity
511.0000 2 0 Infinity
511.0000 2 0 Infinity
515.0000 2 1 2.0000
515.0000 2 2 1.0000
515.0000 2 2 1.0000
516.0000 2 2 1.0000
516.0000 2 2 1.0000
516.0000 2 2 1.0000
516.0000 2 2 1.0000
516.0000 2 2 1.0000
517.0000 2 2 1.0000
518.0000 2 2 1.0000
522.0000 2 2 1.0000
522.0000 2 2 1.0000
522.0000 2 2 1.0000
523.0000 2 2 1.0000
524.0000 2 2 1.0000
525.0000 2 2 1.0000
528.0000 2 2 1.0000
531.0000 2 2 1.0000
532.0000 2 2 1.0000
532.0000 2 2 1.0000
534.0000 2 2 1.0000
534.0000 2 2 1.0000
535.0000 2 2 1.0000
539.0000 2 2 1.0000
539.0000 2 2 1.0000
541.0000 2 2 1.0000
542.0000 2 2 1.0000
549.0000 2 2 1.0000
550.0000 2 2 1.0000
552.0000 2 2 1.0000
557.0000 2 2 1.0000
559.0000 2 2 1.0000
560.0000 2 2 1.0000
563.0000 2 2 1.0000
563.0000 2 2 1.0000
563.0000 2 2 1.0000
563.0000 2 2 1.0000
564.0000 2 2 1.0000
564.0000 2 2 1.0000
568.0000 2 2 1.0000
571.0000 2 2 1.0000
571.0000 2 2 1.0000
573.0000 2 2 1.0000
574.0000 2 2 1.0000
575.0000 2 2 1.0000
578.0000 2 2 1.0000
580.0000 2 2 1.0000
582.0000 2 2 1.0000
584.0000 2 2 1.0000
589.0000 2 2 1.0000
591.0000 2 2 1.0000
596.0000 2 2 1.0000
599.0000 2 2 1.0000
618.0000 2 2 1.0000
623.0000 2 2 1.0000
624.0000 2 2 1.0000
634.0000 2 2 1.0000
644.0000 2 2 1.0000
664.0000 2 2 1.0000
668.0000 2 2 1.0000
732.0000 2 2 1.0000
735.0000 2 2 1.0000
754.0000 2 2 1.0000
757.0000 2 2 1.0000
759.0000 2 2 1.0000
761.0000 2 2 1.0000
762.0000 2 2 1.0000
763.0000 2 2 1.0000
765.0000 2 2 1.0000
769.0000 2 2 1.0000
769.0000 2 2 1.0000
770.0000 2 2 1.0000
773.0000 2 2 1.0000
773.0000 2 2 1.0000
774.0000 2 2 1.0000
774.0000 2 2 1.0000
776.0000 2 2 1.0000
776.0000 2 2 1.0000
778.0000 2 2 1.0000
779.0000 2 2 1.0000
782.0000 2 2 1.0000
784.0000 2 2 1.0000
785.0000 2 2 1.0000
787.0000 2 2 1.0000
787.0000 2 2 1.0000
787.0000 2 2 1.0000
791.0000 2 2 1.0000
795.0000 2 2 1.0000
797.0000 2 2 1.0000
798.0000 2 2 1.0000
799.0000 2 2 1.0000
799.0000 2 2 1.0000
801.0000 2 2 1.0000
803.0000 2 2 1.0000
804.0000 2 2 1.0000
805.0000 2 2 1.0000
806.0000 2 2 1.0000
809.0000 2 2 1.0000
810.0000 2 2 1.0000
812.0000 2 2 1.0000
813.0000 2 2 1.0000
813.0000 2 2 1.0000
815.0000 2 2 1.0000
818.0000 2 2 1.0000
819.0000 2 2 1.0000
820.0000 2 2 1.0000
822.0000 2 2 1.0000
822.0000 2 2 1.0000
823.0000 2 2 1.0000
823.0000 2 2 1.0000
824.0000 2 2 1.0000
824.0000 2 2 1.0000
826.0000 2 2 1.0000
827.0000 2 2 1.0000
827.0000 2 2 1.0000
827.0000 2 2 1.0000
829.0000 2 2 1.0000
830.0000 2 2 1.0000
832.0000 2 2 1.0000
833.0000 2 2 1.0000
833.0000 2 2 1.0000
834.0000 2 2 1.0000
835.0000 2 2 1.0000
836.0000 2 2 1.0000
837.0000 2 2 1.0000
837.0000 2 2 1.0000
839.0000 2 2 1.0000
841.0000 2 2 1.0000
841.0000 2 2 1.0000
841.0000 2 2 1.0000
844.0000 2 2 1.0000
844.0000 2 2 1.0000
844.0000 2 2 1.0000
845.0000 2 2 1.0000
845.0000 2 2 1.0000
846.0000 2 2 1.0000
848.0000 2 2 1.0000
849.0000 2 2 1.0000
850.0000 2 2 1.0000
850.0000 2 2 1.0000
850.0000 2 2 1.0000
852.0000 2 2 1.0000
854.0000 2 2 1.0000
855.0000 2 2 1.0000
855.0000 2 2 1.0000
855.0000 2 2 1.0000
855.0000 2 2 1.0000
856.0000 2 2 1.0000
856.0000 2 2 1.0000
858.0000 2 2 1.0000
859.0000 2 2 1.0000
859.0000 2 2 1.0000
859.0000 2 2 1.0000
861.0000 2 2 1.0000
862.0000 2 2 1.0000
862.0000 2 2 1.0000
862.0000 2 2 1.0000
862.0000 2 2 1.0000
863.0000 2 2 1.0000
864.0000 2 2 1.0000
865.0000 2 2 1.0000
865.0000 2 2 1.0000
865.0000 2 2 1.0000
867.0000 2 2 1.0000
867.0000 2 2 1.0000
868.0000 2 2 1.0000
868.0000 2 2 1.0000
870.0000 2 2 1.0000
871.0000 2 2 1.0000
872.0000 2 2 1.0000
873.0000 2 2 1.0000
874.0000 2 2 1.0000
874.0000 2 2 1.0000
875.0000 2 2 1.0000
875.0000 2 2 1.0000
876.0000 2 2 1.0000
876.0000 3 2 1.5000
877.0000 3 2 1.5000
878.0000 3 2 1.5000
878.0000 3 2 1.5000
881.0000 3 2 1.5000
881.0000 3 2 1.5000
882.0000 3 2 1.5000
884.0000 3 2 1.5000
885.0000 3 2 1.5000
885.0000 3 2 1.5000
890.0000 3 2 1.5000
890.0000 3 2 1.5000
891.0000 3 2 1.5000
891.0000 3 2 1.5000
891.0000 3 2 1.5000
892.0000 3 2 1.5000
892.0000 3 2 1.5000
892.0000 3 2 1.5000
893.0000 3 2 1.5000
894.0000 3 2 1.5000
894.0000 3 2 1.5000
895.0000 3 2 1.5000
896.0000 3 2 1.5000
897.0000 3 2 1.5000
897.0000 3 2 1.5000
897.0000 3 2 1.5000
899.0000 3 2 1.5000
900.0000 3 2 1.5000
900.0000 3 2 1.5000
900.0000 3 2 1.5000
900.0000 3 2 1.5000
902.0000 3 2 1.5000
903.0000 3 2 1.5000
904.0000 3 2 1.5000
904.0000 3 2 1.5000
904.0000 3 2 1.5000
905.0000 3 2 1.5000
905.0000 3 2 1.5000
906.0000 3 2 1.5000
906.0000 3 2 1.5000
907.0000 3 2 1.5000
907.0000 3 2 1.5000
908.0000 3 2 1.5000
908.0000 3 2 1.5000
908.0000 3 2 1.5000
909.0000 3 2 1.5000
911.0000 3 2 1.5000
911.0000 3 2 1.5000
911.0000 3 2 1.5000
912.0000 3 2 1.5000
912.0000 3 2 1.5000
912.0000 4 2 2.0000
913.0000 4 2 2.0000
913.0000 4 2 2.0000
914.0000 4 2 2.0000
914.0000 4 2 2.0000
915.0000 4 2 2.0000
916.0000 4 2 2.0000
916.0000 4 2 2.0000
916.0000 4 2 2.0000
917.0000 4 2 2.0000
918.0000 4 2 2.0000
919.0000 4 2 2.0000
919.0000 4 2 2.0000
920.0000 4 2 2.0000
920.0000 4 2 2.0000
921.0000 4 2 2.0000
922.0000 4 2 2.0000
923.0000 4 2 2.0000
923.0000 4 2 2.0000
924.0000 4 2 2.0000
927.0000 4 2 2.0000
928.0000 4 2 2.0000
928.0000 4 2 2.0000
929.0000 4 2 2.0000
931.0000 4 2 2.0000
931.0000 4 2 2.0000
932.0000 4 2 2.0000
932.0000 4 2 2.0000
933.0000 4 2 2.0000
935.0000 4 2 2.0000
936.0000 4 2 2.0000
937.0000 4 2 2.0000
937.0000 4 2 2.0000
937.0000 4 2 2.0000
939.0000 4 2 2.0000
939.0000 4 2 2.0000
942.0000 4 2 2.0000
946.0000 4 2 2.0000
948.0000 4 2 2.0000
952.0000 4 2 2.0000
953.0000 4 2 2.0000
959.0000 4 2 2.0000
961.0000 4 2 2.0000
961.0000 4 2 2.0000
962.0000 4 2 2.0000
962.0000 4 2 2.0000
964.0000 4 2 2.0000
965.0000 4 2 2.0000
966.0000 4 2 2.0000
966.0000 4 2 2.0000
967.0000 4 2 2.0000
968.0000 4 2 2.0000
968.0000 4 2 2.0000
969.0000 4 2 2.0000
969.0000 4 2 2.0000
972.0000 4 2 2.0000
973.0000 4 2 2.0000
974.0000 4 2 2.0000
975.0000 4 2 2.0000
977.0000 4 2 2.0000
978.0000 4 2 2.0000
