# time  ID  size  fromHost  toHost  TTL  isResponse
1.0000 D1 973208 c76 null n/a N 
2.0000 D2 625239 p8 null n/a N 
3.0000 D3 518180 w100 null n/a N 
4.0000 D4 584118 w85 null n/a N 
5.0000 D5 793976 p17 null n/a N 
6.0000 D6 500470 c44 null n/a N 
7.0000 D7 520183 p6 null n/a N 
8.0000 D8 638009 t122 null n/a N 
9.0000 D9 687343 w84 null n/a N 
10.0000 D10 530240 p5 null n/a N 
11.0000 D11 549422 p9 null n/a N 
12.0000 D12 827313 t121 null n/a N 
13.0000 D13 931861 w109 null n/a N 
14.0000 D14 770554 w106 null n/a N 
15.0000 D15 578501 p4 null n/a N 
16.0000 D16 695312 p26 null n/a N 
17.0000 D17 624598 p3 null n/a N 
18.0000 D18 815920 p14 null n/a N 
19.0000 D19 938087 p35 null n/a N 
20.0000 D20 956870 p39 null n/a N 
21.0000 D21 501903 c53 null n/a N 
22.0000 D22 912332 c65 null n/a N 
23.0000 D23 897362 c48 null n/a N 
24.0000 D24 795146 c67 null n/a N 
25.0000 D25 970095 c55 null n/a N 
26.0000 D26 595388 c58 null n/a N 
27.0000 D27 552502 w90 null n/a N 
28.0000 D28 633905 p7 null n/a N 
29.0000 D29 525143 c77 null n/a N 
30.0000 D30 872399 w107 null n/a N 
31.0000 D31 567317 w115 null n/a N 
32.0000 D32 736948 p31 null n/a N 
33.0000 D33 875962 p15 null n/a N 
34.0000 D34 655928 p30 null n/a N 
35.0000 D35 970052 p32 null n/a N 
36.0000 D36 997646 c43 null n/a N 
37.0000 D37 706461 w104 null n/a N 
38.0000 D38 557801 w116 null n/a N 
39.0000 D39 541032 c66 null n/a N 
40.0000 D40 802139 w111 null n/a N 
41.0000 D41 906903 c54 null n/a N 
42.0000 D42 882521 p12 null n/a N 
43.0000 D43 556282 w110 null n/a N 
44.0000 D44 654778 p16 null n/a N 
45.0000 D45 754066 c51 null n/a N 
46.0000 D46 611358 c64 null n/a N 
47.0000 D47 658499 p1 null n/a N 
48.0000 D48 916876 p37 null n/a N 
49.0000 D49 600136 w102 null n/a N 
50.0000 D50 593683 p21 null n/a N 
51.0000 D51 904512 c70 null n/a N 
52.0000 D52 666866 c74 null n/a N 
53.0000 D53 588134 p19 null n/a N 
54.0000 D54 674643 p2 null n/a N 
55.0000 D55 801950 w112 null n/a N 
56.0000 D56 688113 w82 null n/a N 
57.0000 D57 625547 w103 null n/a N 
58.0000 D58 739771 t123 null n/a N 
59.0000 D59 676030 c78 null n/a N 
60.0000 D60 938641 w94 null n/a N 
61.0000 D61 624073 c62 null n/a N 
62.0000 D62 524203 p38 null n/a N 
63.0000 D63 665426 w89 null n/a N 
64.0000 D64 707193 c68 null n/a N 
65.0000 D65 624867 c46 null n/a N 
66.0000 D66 588581 p29 null n/a N 
67.0000 D67 866302 p22 null n/a N 
68.0000 D68 811029 w113 null n/a N 
69.0000 D69 544013 p10 null n/a N 
70.0000 D70 674028 p0 null n/a N 
71.0000 D71 704919 c79 null n/a N 
72.0000 D72 526320 c72 null n/a N 
73.0000 D73 686447 c52 null n/a N 
74.0000 D74 753734 c63 null n/a N 
75.0000 D75 958951 p34 null n/a N 
76.0000 D76 954457 w91 null n/a N 
77.0000 D77 729090 w96 null n/a N 
78.0000 D78 686138 w80 null n/a N 
79.0000 D79 741158 p13 null n/a N 
80.0000 D80 640194 p36 null n/a N 
81.0000 D81 808976 p24 null n/a N 
82.0000 D82 687218 w119 null n/a N 
83.0000 D83 734786 c61 null n/a N 
84.0000 D84 732059 w81 null n/a N 
85.0000 I1 593012 p10 null 300 N 
85.0000 D85 648215 w83 null n/a N 
86.0000 D86 795194 w97 null n/a N 
87.0000 D87 646680 c49 null n/a N 
88.0000 D88 685403 c60 null n/a N 
89.0000 D89 617959 p23 null n/a N 
90.0000 D90 511390 c56 null n/a N 
91.0000 D91 955799 c71 null n/a N 
92.0000 D92 893399 p33 null n/a N 
93.0000 D93 797599 w87 null n/a N 
94.0000 D94 625167 c42 null n/a N 
95.0000 D95 592708 w108 null n/a N 
96.0000 D96 604617 w98 null n/a N 
97.0000 D97 733875 w99 null n/a N 
98.0000 D98 922815 p28 null n/a N 
99.0000 D99 835120 w101 null n/a N 
100.0000 D100 813930 t124 null n/a N 
101.0000 D101 924744 p25 null n/a N 
102.0000 D102 649568 c57 null n/a N 
103.0000 D103 963907 w86 null n/a N 
104.0000 D104 655159 c69 null n/a N 
105.0000 D105 879446 c41 null n/a N 
106.0000 D106 670600 p18 null n/a N 
107.0000 D107 934549 w95 null n/a N 
108.0000 D108 719119 c59 null n/a N 
109.0000 D109 595045 w118 null n/a N 
110.0000 D110 931439 c50 null n/a N 
111.0000 D111 723758 t120 null n/a N 
112.0000 D112 521906 p11 null n/a N 
113.0000 D113 595664 p20 null n/a N 
114.0000 D114 910478 c40 null n/a N 
115.0000 D115 560717 w114 null n/a N 
116.0000 D116 628259 c75 null n/a N 
117.0000 D117 625572 p27 null n/a N 
118.0000 D118 765377 c45 null n/a N 
119.0000 D119 916926 w117 null n/a N 
120.0000 D120 639559 w88 null n/a N 
121.0000 D121 552449 c73 null n/a N 
122.0000 D122 933830 w105 null n/a N 
123.0000 D123 510626 w92 null n/a N 
124.0000 D124 584260 c47 null n/a N 
125.0000 D125 854497 w93 null n/a N 
130.0000 D59 1000000 c78 p10 300 Y 
348.0000 I2 638690 p23 null 300 N 
511.0000 D63 1000000 w89 p23 300 Y 
636.0000 I3 739517 c50 null 300 N 
756.0000 I4 638104 c47 null 300 N 
876.0000 D76 1000000 w91 c47 300 Y 
912.0000 D95 1000000 w108 c50 300 Y 
978.0000 I5 566179 w101 null 300 N 
1049.0000 I6 955569 c53 null 300 N 
1057.0000 D60 1000000 w94 w101 300 Y 
1157.0000 D60 1000000 c58 w101 300 Y 
1158.0000 D60 1000000 c69 w101 300 Y 
1197.0000 D18 1000000 p14 c53 300 Y 
1199.0000 D60 1000000 c51 w101 300 Y 
1206.0000 D60 1000000 c71 w101 300 Y 
1229.0000 D60 1000000 p38 w101 300 Y 
1230.0000 D60 1000000 p7 w101 300 Y 
1254.0000 D60 1000000 c55 w101 300 Y 
1297.0000 D60 1000000 c79 w101 300 Y 
1324.0000 I7 586821 c79 null 300 N 
1477.0000 D72 1000000 c72 c79 300 Y 
1572.0000 I8 513337 c79 null 300 N 
1778.0000 D80 1000000 p36 c79 300 Y 
1791.0000 I9 678250 c51 null 300 N 
1853.0000 I10 835779 c78 null 300 N 
2002.0000 D106 1000000 p18 c51 300 Y 
2016.0000 I11 591972 t124 null 300 N 
2101.0000 D35 1000000 p32 c78 300 Y 
2140.0000 D116 1000000 c75 t124 300 Y 
2190.0000 I12 613454 c71 null 300 N 
2310.0000 I13 803022 w108 null 300 N 
2313.0000 D61 1000000 c62 c71 300 Y 
2411.0000 D106 1000000 c72 c51 300 Y 
2419.0000 D61 1000000 w114 c71 300 Y 
2441.0000 D61 1000000 c41 c71 300 Y 
2462.0000 D61 1000000 p32 c71 300 Y 
2464.0000 D61 1000000 p33 c71 300 Y 
2486.0000 I14 817476 w115 null 300 N 
2511.0000 D61 1000000 p3 c71 300 Y 
2520.0000 D63 1000000 w83 p23 300 Y 
2522.0000 D59 1000000 w85 p10 300 Y 
2523.0000 D63 1000000 c75 p23 300 Y 
2533.0000 D63 1000000 w108 p23 300 Y 
2538.0000 D59 1000000 p28 p10 300 Y 
2540.0000 D61 1000000 c48 c71 300 Y 
2540.0000 D95 1000000 w83 c50 300 Y 
2541.0000 D63 1000000 p28 p23 300 Y 
2543.0000 D76 1000000 w83 c47 300 Y 
2549.0000 D76 1000000 w108 c47 300 Y 
2560.0000 D61 1000000 w86 c71 300 Y 
2583.0000 D63 1000000 p38 p23 300 Y 
2586.0000 D76 1000000 w85 c47 300 Y 
2589.0000 D60 1000000 w85 w101 300 Y 
2592.0000 D63 1000000 w85 p23 300 Y 
2593.0000 D63 1000000 p34 p23 300 Y 
2594.0000 D76 1000000 p28 c47 300 Y 
2604.0000 D59 1000000 p8 p10 300 Y 
2604.0000 D60 1000000 p28 w101 300 Y 
2607.0000 D63 1000000 p8 p23 300 Y 
2610.0000 D60 1000000 w113 w101 300 Y 
2619.0000 D63 1000000 w115 p23 300 Y 
2620.0000 D63 1000000 p15 p23 300 Y 
2621.0000 D59 1000000 p10 p10 300 Y 
2621.0000 D59 1000000 w93 p10 300 Y 
2621.0000 D60 1000000 p34 w101 300 Y 
2621.0000 D59 1000000 c62 p10 300 Y 
