# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
130.0000 I1 593012 2 45.0000 p10 null 299 N p10->w89->c78
511.0000 I2 638690 3 163.0000 p23 null 297 N p23->p18->w105->w89
876.0000 I4 638104 6 120.0000 c47 null 298 N c47->c51->c68->w97->c58->p32->w91
912.0000 I3 739517 7 276.0000 c50 null 295 N c50->p17->w84->p10->w83->w107->p23->w108
1057.0000 I5 566179 5 79.0000 w101 null 298 N w101->c60->p12->t124->w112->w94
1132.0000 D60 1000000 2 75.0000 w94 w101 298 Y w94->p12->w101
1149.0000 D63 1000000 1 638.0000 w89 p23 289 Y w89->p23
1157.0000 I5 566179 6 179.0000 w101 null 297 N w101->c60->p12->t124->w107->w93->c58
1158.0000 I5 566179 4 180.0000 w101 null 297 N w101->w85->p24->p19->c69
1197.0000 I6 955569 4 148.0000 c53 null 297 N c53->p28->w118->w115->p14
1199.0000 I5 566179 3 221.0000 w101 null 296 N w101->p31->c44->c51
1206.0000 I5 566179 5 228.0000 w101 null 296 N w101->p31->c75->p36->p3->c71
1229.0000 I5 566179 10 251.0000 w101 null 295 N w101->c60->p12->t124->w107->w100->c54->p22->c52->w96->p38
1230.0000 I5 566179 4 252.0000 w101 null 295 N w101->c60->p12->p30->p7
1254.0000 I5 566179 6 276.0000 w101 null 295 N w101->c60->p12->t124->w107->w100->c55
1297.0000 I5 566179 5 319.0000 w101 null 294 N w101->c60->p12->t124->w107->c79
1477.0000 I7 586821 5 153.0000 c79 null 297 N c79->w82->c76->w98->w111->c72
1778.0000 I8 513337 4 206.0000 c79 null 296 N c79->p11->c50->w112->p36
2002.0000 I9 678250 2 211.0000 c51 null 296 N c51->w102->p18
2101.0000 I10 835779 5 248.0000 c78 null 295 N c78->w86->c54->w95->w110->p32
2119.0000 D106 1000000 4 117.0000 p18 c51 298 Y p18->w82->p31->w104->c51
2140.0000 I11 591972 4 124.0000 t124 null 297 N t124->t125->c40->w85->c75
2267.0000 D80 1000000 2 489.0000 p36 c79 291 Y p36->p18->c79
2313.0000 I12 613454 2 123.0000 c71 null 297 N c71->c46->c62
2411.0000 I9 678250 5 620.0000 c51 null 289 N c51->w103->w116->p27->w100->c72
2417.0000 D61 1000000 3 104.0000 c62 c71 298 Y c62->p10->w89->c71
2419.0000 I12 613454 5 229.0000 c71 null 296 N c71->p39->c53->w116->c50->w114
2433.0000 D59 1000000 1 2303.0000 c78 p10 261 Y c78->p10
2441.0000 I12 613454 1 251.0000 c71 null 295 N c71->c41
2462.0000 I12 613454 4 272.0000 c71 null 295 N c71->p39->c53->t120->p32
2464.0000 I12 613454 6 274.0000 c71 null 295 N c71->c46->p28->p37->p35->w83->p33
2511.0000 I12 613454 6 321.0000 c71 null 294 N c71->p39->c53->w112->w118->t122->p3
2520.0000 I2 638690 3 2172.0000 p23 null 263 N p23->p18->c44->w83
2522.0000 I1 593012 3 2437.0000 p10 null 259 N p10->p34->w97->w85
2523.0000 I2 638690 6 2175.0000 p23 null 263 N p23->p18->p25->c41->p14->p32->c75
2533.0000 I2 638690 4 2185.0000 p23 null 263 N p23->p18->p22->c56->w108
2538.0000 I1 593012 5 2453.0000 p10 null 259 N p10->w89->w96->c59->p8->p28
2540.0000 I12 613454 5 350.0000 c71 null 294 N c71->p39->c53->w112->p21->c48
2540.0000 I3 739517 6 1904.0000 c50 null 268 N c50->p17->w84->c58->p30->p1->w83
2541.0000 I2 638690 6 2193.0000 p23 null 263 N p23->p18->p25->p17->c59->p8->p28
2543.0000 I4 638104 6 1787.0000 c47 null 270 N c47->c51->p0->p29->c77->p1->w83
2549.0000 I4 638104 7 1793.0000 c47 null 270 N c47->c51->c68->w97->p11->p28->w80->w108
2560.0000 I12 613454 5 370.0000 c71 null 293 N c71->p39->c53->w116->c59->w86
2583.0000 I2 638690 6 2235.0000 p23 null 262 N p23->p18->t121->w103->w119->w104->p38
2586.0000 I4 638104 6 1830.0000 c47 null 269 N c47->c51->p0->t123->c56->w104->w85
2589.0000 I5 566179 5 1611.0000 w101 null 273 N w101->w85->p24->p28->w104->w85
2592.0000 I2 638690 6 2244.0000 p23 null 262 N p23->p18->t121->w103->w119->w104->w85
2593.0000 I2 638690 5 2245.0000 p23 null 262 N p23->p18->t121->w103->w119->p34
2594.0000 I4 638104 4 1838.0000 c47 null 269 N c47->w114->w99->c78->p28
2604.0000 I1 593012 2 2519.0000 p10 null 258 N p10->w103->p8
2604.0000 I5 566179 6 1626.0000 w101 null 272 N w101->w85->p24->p2->w109->c41->p28
2607.0000 I2 638690 4 2259.0000 p23 null 262 N p23->p18->t121->w103->p8
2610.0000 I5 566179 3 1632.0000 w101 null 272 N w101->p31->p26->w113
2619.0000 I2 638690 4 2271.0000 p23 null 262 N p23->p18->t121->w103->w115
2620.0000 I2 638690 7 2272.0000 p23 null 262 N p23->p18->w97->w116->p24->w83->p7->p15
2621.0000 I1 593012 5 2536.0000 p10 null 257 N p10->p25->p21->w83->p26->p10
2621.0000 I1 593012 4 2536.0000 p10 null 257 N p10->p34->w93->w113->w93
2621.0000 I5 566179 6 1643.0000 w101 null 272 N w101->c60->p12->t124->w107->w117->p34
2621.0000 I1 593012 3 2536.0000 p10 null 257 N p10->w89->w81->c62
2622.0000 I4 638104 5 1866.0000 c47 null 268 N c47->c51->p0->p16->w103->w115
2625.0000 I14 817476 4 139.0000 w115 null 297 N w115->p10->p13->w106->p0
2634.0000 I1 593012 4 2549.0000 p10 null 257 N p10->p34->w93->w113->p15
2635.0000 D76 1000000 6 1759.0000 w91 c47 270 Y w91->w97->t121->w98->p14->w80->c47
2640.0000 I2 638690 5 2292.0000 p23 null 261 N p23->p18->t121->w82->p26->w104
2642.0000 I2 638690 4 2294.0000 p23 null 261 N p23->p18->t121->w103->p13
2646.0000 I4 638104 6 1890.0000 c47 null 268 N c47->c51->c68->w97->c58->p26->w104
2648.0000 I4 638104 5 1892.0000 c47 null 268 N c47->c51->p0->p16->w103->p13
2649.0000 I5 566179 3 1671.0000 w101 null 272 N w101->p31->p26->w104
2651.0000 I4 638104 4 1895.0000 c47 null 268 N c47->p6->c57->c60->p34
2651.0000 I5 566179 6 1673.0000 w101 null 272 N w101->w85->p24->p13->c40->w103->p13
2651.0000 I2 638690 5 2303.0000 p23 null 261 N p23->p18->w97->p39->p20->p22
2654.0000 I4 638104 6 1898.0000 c47 null 268 N c47->c51->p0->w119->c63->p20->p22
2655.0000 I4 638104 4 1899.0000 c47 null 268 N c47->w114->w99->c78->c75
2655.0000 I2 638690 6 2307.0000 p23 null 261 N p23->p18->p25->c41->p14->p32->w84
2658.0000 I1 593012 7 2573.0000 p10 null 257 N p10->p34->w110->w113->p31->w115->w106->p7
2658.0000 I2 638690 5 2310.0000 p23 null 261 N p23->p18->t121->w103->w88->p10
2658.0000 I5 566179 5 1680.0000 w101 null 272 N w101->w85->p24->p23->c78->c75
2658.0000 I1 593012 5 2573.0000 p10 null 257 N p10->p34->c56->w100->p32->w84
2661.0000 I2 638690 3 2313.0000 p23 null 261 N p23->p18->p3->p17
2663.0000 I4 638104 6 1907.0000 c47 null 268 N c47->c51->c68->w97->c58->p26->p0
2664.0000 I2 638690 5 2316.0000 p23 null 261 N p23->p18->w97->w116->w81->w110
2668.0000 I2 638690 5 2320.0000 p23 null 261 N p23->p18->p3->w117->w91->w105
2668.0000 I2 638690 4 2320.0000 p23 null 261 N p23->p18->p25->c61->p0
2668.0000 I4 638104 5 1912.0000 c47 null 268 N c47->c51->p0->p29->c77->p10
2669.0000 I5 566179 6 1691.0000 w101 null 271 N w101->w85->p24->p2->w109->c41->w115
2669.0000 I4 638104 4 1913.0000 c47 null 268 N c47->w114->w99->w81->w110
2670.0000 I1 593012 8 2585.0000 p10 null 256 N p10->p34->w110->w113->p31->w115->p0->p2->p1
2671.0000 I5 566179 10 1693.0000 w101 null 271 N w101->c60->p12->t124->w107->w100->c54->p22->w119->c77->p10
2672.0000 I1 593012 3 2587.0000 p10 null 256 N p10->w89->w81->w110
2672.0000 I2 638690 5 2324.0000 p23 null 261 N p23->p18->p25->c41->c79->w107
2674.0000 I2 638690 6 2326.0000 p23 null 261 N p23->p18->t121->w103->c50->w87->c40
2674.0000 I2 638690 5 2326.0000 p23 null 261 N p23->p18->w97->w116->p24->c54
2676.0000 I1 593012 6 2591.0000 p10 null 256 N p10->p25->p21->w83->p26->w104->p34
2676.0000 I2 638690 6 2328.0000 p23 null 261 N p23->p18->p25->c41->w94->w114->p9
2677.0000 I2 638690 4 2329.0000 p23 null 261 N p23->p18->p25->c41->p2
2678.0000 I2 638690 5 2330.0000 p23 null 261 N p23->p18->p22->c57->c64->p5
2678.0000 I2 638690 4 2330.0000 p23 null 261 N p23->p18->p0->p33->c73
2680.0000 I4 638104 1 1924.0000 c47 null 267 N c47->p7
2680.0000 I2 638690 3 2332.0000 p23 null 261 N p23->p18->p3->c57
2680.0000 I5 566179 6 1702.0000 w101 null 271 N w101->w85->p24->p2->w109->c41->p2
2681.0000 I1 593012 2 2596.0000 p10 null 256 N p10->w86->w105
2682.0000 I4 638104 5 1926.0000 c47 null 267 N c47->p6->c61->w111->c44->w117
