# deliveryTime  hopCount
148.0000 8
105.0000 10
183.0000 6
119.0000 6
96.0000 5
136.0000 4
227.0000 7
109.0000 5
81.0000 8
123.0000 6
117.0000 6
128.0000 12
150.0000 8
169.0000 8
52.0000 6
53.0000 6
66.0000 6
78.0000 3
139.0000 5
174.0000 10
200.0000 5
201.0000 5
213.0000 8
214.0000 5
242.0000 7
301.0000 4
119.0000 3
21.0000 4
82.0000 5
86.0000 5
92.0000 6
95.0000 6
98.0000 6
99.0000 8
109.0000 9
110.0000 7
111.0000 7
114.0000 7
119.0000 6
122.0000 6
125.0000 5
126.0000 5
127.0000 5
128.0000 7
129.0000 5
129.0000 9
134.0000 7
136.0000 8
136.0000 6
138.0000 6
141.0000 8
141.0000 5
144.0000 4
145.0000 10
145.0000 4
145.0000 6
147.0000 8
148.0000 8
152.0000 5
163.0000 9
168.0000 10
172.0000 5
176.0000 8
176.0000 6
176.0000 9
178.0000 11
178.0000 7
180.0000 10
180.0000 10
193.0000 8
194.0000 8
199.0000 8
207.0000 4
228.0000 8
155.0000 4
237.0000 8
92.0000 5
260.0000 11
284.0000 11
295.0000 11
154.0000 7
335.0000 7
343.0000 8
211.0000 8
16.0000 3
90.0000 5
266.0000 9
95.0000 2
315.0000 4
152.0000 5
341.0000 5
93.0000 5
162.0000 4
166.0000 5
88.0000 3
227.0000 9
262.0000 8
76.0000 4
184.0000 6
107.0000 5
67.0000 3
93.0000 4
110.0000 6
111.0000 4
118.0000 3
166.0000 5
168.0000 5
5851.0000 6
5590.0000 12
5598.0000 8
5195.0000 9
200.0000 5
4906.0000 7
5201.0000 7
5609.0000 12
5609.0000 11
5873.0000 2
5612.0000 7
5206.0000 6
5877.0000 8
5878.0000 7
5617.0000 9
222.0000 7
5626.0000 12
5890.0000 6
5339.0000 3
5220.0000 10
5891.0000 9
4185.0000 8
5891.0000 7
5000.0000 7
5893.0000 6
5894.0000 9
5345.0000 5
5228.0000 9
5349.0000 5
5637.0000 9
5900.0000 10
5901.0000 6
4937.0000 6
5902.0000 10
5902.0000 7
5641.0000 11
5234.0000 6
4941.0000 8
5906.0000 8
5643.0000 7
4942.0000 7
5907.0000 8
5357.0000 6
4945.0000 5
5909.0000 7
5647.0000 10
5240.0000 6
5019.0000 4
5241.0000 7
5019.0000 7
4951.0000 6
5022.0000 7
5366.0000 8
5246.0000 9
4953.0000 9
5024.0000 8
5918.0000 7
5919.0000 9
5368.0000 5
4955.0000 8
4434.0000 4
5251.0000 5
5922.0000 7
5660.0000 11
5032.0000 7
5033.0000 7
5375.0000 4
5033.0000 5
5256.0000 6
5927.0000 8
4964.0000 6
5258.0000 7
5378.0000 6
4444.0000 4
5038.0000 7
4445.0000 7
5261.0000 6
4968.0000 7
5932.0000 9
5669.0000 9
5039.0000 8
4445.0000 8
5040.0000 9
4694.0000 5
5934.0000 6
5263.0000 6
5934.0000 10
4970.0000 7
5672.0000 5
5042.0000 6
4972.0000 5
4972.0000 8
5265.0000 8
5937.0000 8
4974.0000 6
5388.0000 5
5389.0000 10
4976.0000 7
5047.0000 5
4978.0000 8
5942.0000 9
5049.0000 4
5272.0000 9
5272.0000 6
3718.0000 7
5681.0000 8
5944.0000 6
4177.0000 10
5682.0000 6
5946.0000 6
5683.0000 5
5053.0000 5
5275.0000 6
4241.0000 4
5684.0000 8
4460.0000 6
5947.0000 7
4984.0000 6
4709.0000 13
4710.0000 4
5687.0000 9
5057.0000 5
4986.0000 8
5279.0000 7
4986.0000 7
5058.0000 8
5688.0000 11
5058.0000 7
5401.0000 5
5059.0000 5
5689.0000 8
5282.0000 9
5282.0000 8
5953.0000 8
5283.0000 9
4249.0000 7
4468.0000 6
5405.0000 4
3851.0000 12
4718.0000 4
5287.0000 6
4471.0000 6
3853.0000 13
4995.0000 3
4472.0000 2
4472.0000 7
5067.0000 7
5960.0000 9
4254.0000 11
4473.0000 7
5961.0000 7
4255.0000 9
5961.0000 9
3856.0000 12
5699.0000 10
5412.0000 6
5965.0000 5
5295.0000 7
4727.0000 4
5073.0000 10
5002.0000 4
5416.0000 4
4036.0000 6
5704.0000 4
5417.0000 6
5705.0000 5
5298.0000 10
4482.0000 9
5299.0000 8
5970.0000 5
5300.0000 5
5708.0000 8
5420.0000 10
4733.0000 4
5709.0000 8
4042.0000 8
3748.0000 7
5422.0000 7
4205.0000 12
5422.0000 7
5711.0000 12
5974.0000 6
5011.0000 5
5082.0000 6
5012.0000 6
5714.0000 8
5426.0000 9
5977.0000 10
5013.0000 5
5427.0000 6
5716.0000 9
5309.0000 6
5980.0000 10
5717.0000 10
5980.0000 8
5980.0000 6
5430.0000 8
5017.0000 6
5981.0000 5
4276.0000 11
5720.0000 4
5090.0000 6
4745.0000 9
3761.0000 8
5022.0000 8
3761.0000 6
4281.0000 10
4500.0000 6
3882.0000 10
4501.0000 3
5725.0000 12
5990.0000 7
5319.0000 9
4504.0000 7
5440.0000 8
4504.0000 9
5028.0000 6
5100.0000 9
2473.0000 9
3888.0000 11
5442.0000 8
4508.0000 6
5325.0000 6
5996.0000 8
5326.0000 6
4292.0000 11
5998.0000 9
5736.0000 11
5449.0000 6
5449.0000 6
6000.0000 9
5107.0000 8
5037.0000 5
5450.0000 5
5330.0000 7
3896.0000 6
6001.0000 12
5332.0000 6
4297.0000 6
5111.0000 7
5112.0000 10
5454.0000 12
3336.0000 8
5454.0000 6
3781.0000 8
5337.0000 10
3784.0000 9
5117.0000 5
2991.0000 7
4772.0000 7
3907.0000 5
4244.0000 8
3788.0000 9
3908.0000 7
4082.0000 9
6013.0000 6
5049.0000 5
6014.0000 5
4527.0000 5
6014.0000 8
4528.0000 6
5465.0000 9
4778.0000 7
2747.0000 9
5346.0000 6
3792.0000 9
5468.0000 4
5468.0000 8
5757.0000 7
4089.0000 9
5057.0000 7
5057.0000 9
6021.0000 9
5758.0000 8
3916.0000 12
3083.0000 8
5058.0000 9
3917.0000 6
4317.0000 8
5352.0000 5
5060.0000 7
4786.0000 9
5132.0000 8
3007.0000 5
5355.0000 8
5134.0000 8
5357.0000 9
4789.0000 9
6028.0000 8
3359.0000 5
4790.0000 7
5478.0000 7
3360.0000 6
3804.0000 9
5137.0000 8
6030.0000 10
4791.0000 8
5138.0000 4
4544.0000 5
5068.0000 9
4545.0000 7
5069.0000 10
5069.0000 11
5482.0000 8
3014.0000 4
3014.0000 10
5070.0000 11
4267.0000 10
4267.0000 10
5071.0000 7
5484.0000 6
2766.0000 9
6036.0000 2
4330.0000 6
5144.0000 9
5366.0000 7
3933.0000 12
4333.0000 6
4333.0000 10
5146.0000 5
5368.0000 5
6040.0000 9
5369.0000 11
3102.0000 9
5147.0000 8
5077.0000 6
4555.0000 5
3373.0000 4
4111.0000 6
4275.0000 11
3024.0000 8
4337.0000 12
4557.0000 6
6045.0000 7
3107.0000 9
5082.0000 7
4559.0000 6
5783.0000 9
6046.0000 9
4559.0000 6
3028.0000 5
2447.0000 12
5497.0000 7
3824.0000 9
4810.0000 8
5380.0000 9
3113.0000 11
5087.0000 5
2365.0000 6
5501.0000 6
4346.0000 5
4346.0000 9
5088.0000 7
2783.0000 4
3034.0000 8
6054.0000 9
4815.0000 5
3035.0000 10
2784.0000 12
4568.0000 6
3037.0000 4
4350.0000 9
5163.0000 9
4288.0000 8
3952.0000 11
1961.0000 4
4819.0000 6
4353.0000 6
4820.0000 10
4573.0000 7
5797.0000 9
5390.0000 11
2792.0000 5
3044.0000 11
4357.0000 9
3839.0000 9
4297.0000 8
2545.0000 5
5172.0000 7
4579.0000 11
2796.0000 11
5803.0000 8
3398.0000 7
4300.0000 3
4582.0000 8
4301.0000 9
4363.0000 8
4583.0000 8
5106.0000 8
5108.0000 5
3848.0000 6
5404.0000 8
3850.0000 3
4370.0000 9
5405.0000 10
4590.0000 7
3139.0000 11
