# deliveryTime  hopCount
148.0000 8
105.0000 10
183.0000 6
119.0000 6
96.0000 5
136.0000 4
227.0000 7
109.0000 5
840.0000 7
1776.0000 5
1520.0000 10
81.0000 8
1530.0000 11
1844.0000 11
905.0000 8
1628.0000 6
1631.0000 12
1901.0000 12
1650.0000 5
1915.0000 11
152.0000 3
1658.0000 9
1659.0000 6
1660.0000 10
1928.0000 8
1667.0000 11
1668.0000 8
1674.0000 4
1678.0000 8
1049.0000 8
1680.0000 7
1681.0000 9
1944.0000 9
1944.0000 8
1681.0000 9
1944.0000 5
1682.0000 6
1687.0000 6
1693.0000 7
1957.0000 10
1957.0000 7
1959.0000 9
1068.0000 8
1961.0000 6
1292.0000 9
1701.0000 5
1702.0000 10
1966.0000 6
1704.0000 3
1969.0000 9
1706.0000 6
1969.0000 9
1971.0000 8
1972.0000 6
1709.0000 11
1973.0000 7
1081.0000 8
1975.0000 9
1976.0000 5
1977.0000 7
1977.0000 7
1716.0000 10
1979.0000 7
1979.0000 5
1087.0000 8
1980.0000 6
1718.0000 8
1719.0000 5
1018.0000 5
1089.0000 8
1019.0000 9
1720.0000 8
1090.0000 4
1984.0000 12
1984.0000 10
1722.0000 7
1985.0000 11
1724.0000 12
1988.0000 9
1725.0000 7
1725.0000 5
1025.0000 6
1990.0000 8
1728.0000 11
1991.0000 5
1992.0000 5
1729.0000 9
1730.0000 12
1993.0000 6
1993.0000 6
1101.0000 8
1995.0000 11
1995.0000 5
1732.0000 15
1996.0000 6
1998.0000 5
1998.0000 5
1736.0000 11
1999.0000 10
2000.0000 8
1109.0000 7
1739.0000 5
1109.0000 6
2003.0000 8
1740.0000 8
2003.0000 7
1110.0000 8
1742.0000 9
2005.0000 11
1742.0000 10
1113.0000 11
2006.0000 6
1743.0000 12
2006.0000 7
2007.0000 9
1745.0000 3
2008.0000 8
1747.0000 10
2010.0000 8
2010.0000 9
2011.0000 11
2012.0000 10
1749.0000 7
1049.0000 3
1120.0000 9
1120.0000 4
1751.0000 4
1751.0000 12
2014.0000 8
1751.0000 3
2014.0000 9
2015.0000 6
1752.0000 11
2015.0000 9
1753.0000 11
2017.0000 6
1754.0000 12
2017.0000 9
2018.0000 8
1755.0000 9
2019.0000 8
2019.0000 7
1757.0000 12
1127.0000 5
1056.0000 5
2021.0000 9
1059.0000 8
1130.0000 5
2024.0000 8
2024.0000 12
1060.0000 7
1132.0000 6
1763.0000 10
1764.0000 8
2027.0000 8
1764.0000 8
1764.0000 8
2027.0000 6
1135.0000 5
2028.0000 6
1065.0000 6
1766.0000 10
2030.0000 7
1137.0000 9
1768.0000 6
1769.0000 12
2032.0000 11
2032.0000 7
1139.0000 8
2034.0000 9
1142.0000 4
2036.0000 9
1774.0000 11
2038.0000 5
2038.0000 8
1776.0000 10
1777.0000 6
2040.0000 7
1077.0000 7
1148.0000 9
1778.0000 10
1149.0000 5
2042.0000 7
2042.0000 10
2043.0000 11
1079.0000 9
2043.0000 10
1781.0000 13
2044.0000 9
2044.0000 10
2045.0000 9
1782.0000 10
2045.0000 10
1782.0000 12
1782.0000 11
1783.0000 12
1082.0000 7
2047.0000 8
2047.0000 9
1084.0000 10
2048.0000 8
1786.0000 9
1786.0000 11
2050.0000 6
2051.0000 7
2051.0000 11
1087.0000 6
2052.0000 8
2052.0000 7
1088.0000 6
2055.0000 9
1092.0000 8
2056.0000 13
2056.0000 7
1164.0000 3
2058.0000 7
2058.0000 11
1165.0000 3
1166.0000 6
2059.0000 6
1168.0000 6
1097.0000 7
2062.0000 8
1099.0000 5
1172.0000 8
1172.0000 6
1802.0000 9
1803.0000 12
2067.0000 11
1804.0000 14
1104.0000 4
1805.0000 12
1105.0000 8
1806.0000 9
1106.0000 8
1807.0000 11
2070.0000 6
1178.0000 5
1178.0000 8
2072.0000 3
2072.0000 8
2074.0000 11
1111.0000 7
1812.0000 12
1111.0000 4
2077.0000 5
2077.0000 7
1113.0000 5
1114.0000 7
1186.0000 4
1186.0000 5
2079.0000 9
1116.0000 8
1817.0000 11
149.0000 4
1116.0000 6
1188.0000 7
2081.0000 10
1818.0000 5
1117.0000 9
1118.0000 7
1189.0000 12
1118.0000 9
2082.0000 11
1189.0000 6
1189.0000 8
1819.0000 12
1190.0000 5
1821.0000 12
1821.0000 10
1120.0000 8
1121.0000 9
1121.0000 5
1823.0000 10
1823.0000 12
1824.0000 9
2088.0000 7
1195.0000 7
1196.0000 9
2089.0000 11
1126.0000 9
2090.0000 10
1126.0000 7
1201.0000 10
1831.0000 11
1201.0000 7
1130.0000 5
1831.0000 5
2095.0000 11
1132.0000 10
1203.0000 6
2097.0000 8
1205.0000 7
1134.0000 7
2099.0000 12
1135.0000 8
1837.0000 8
2101.0000 10
1137.0000 5
1138.0000 10
2102.0000 11
1138.0000 6
1211.0000 7
1842.0000 8
2107.0000 8
1143.0000 7
1144.0000 5
1219.0000 9
1148.0000 5
2113.0000 10
2114.0000 7
1221.0000 8
2114.0000 10
1223.0000 12
1223.0000 9
2117.0000 8
1153.0000 7
1224.0000 9
1224.0000 6
1154.0000 8
1227.0000 6
2121.0000 9
1229.0000 11
2123.0000 7
1861.0000 11
1160.0000 11
1233.0000 8
2126.0000 8
1162.0000 7
1234.0000 7
2127.0000 6
1864.0000 9
1234.0000 10
2128.0000 8
1865.0000 8
2128.0000 13
1236.0000 8
1866.0000 7
1166.0000 7
1237.0000 5
1167.0000 8
1869.0000 10
1871.0000 10
1170.0000 6
1872.0000 11
1171.0000 10
2136.0000 8
2136.0000 10
1873.0000 6
1877.0000 12
2141.0000 11
1879.0000 10
1879.0000 12
1178.0000 6
1880.0000 14
1880.0000 13
2144.0000 9
1181.0000 6
1883.0000 9
1883.0000 11
1183.0000 9
1183.0000 7
1254.0000 12
1885.0000 11
1885.0000 10
1887.0000 11
1257.0000 10
1187.0000 7
1889.0000 9
2152.0000 7
1261.0000 9
1261.0000 3
1891.0000 10
2154.0000 7
2155.0000 12
2155.0000 7
2158.0000 8
1265.0000 7
1266.0000 6
2161.0000 10
1268.0000 7
1898.0000 11
1898.0000 13
2161.0000 9
1198.0000 6
1901.0000 11
1271.0000 6
1271.0000 10
1902.0000 8
1272.0000 8
1903.0000 13
1274.0000 7
2167.0000 9
1905.0000 8
1905.0000 12
1277.0000 7
2171.0000 10
1908.0000 9
1278.0000 11
2173.0000 9
1283.0000 2
1283.0000 6
1283.0000 12
1283.0000 8
2177.0000 8
2178.0000 10
2179.0000 9
1215.0000 6
1917.0000 12
2180.0000 7
1217.0000 9
2181.0000 13
1918.0000 10
1217.0000 9
1289.0000 6
1920.0000 9
1291.0000 7
1220.0000 10
1292.0000 6
1923.0000 11
1223.0000 9
2187.0000 12
1224.0000 7
1925.0000 10
2189.0000 14
2189.0000 7
1927.0000 11
2190.0000 11
1297.0000 6
1226.0000 7
1930.0000 7
1230.0000 9
1302.0000 9
1933.0000 8
2196.0000 11
1233.0000 7
2197.0000 6
2198.0000 9
1935.0000 12
1236.0000 7
2201.0000 10
1938.0000 10
2202.0000 8
1241.0000 10
2206.0000 13
2210.0000 8
1247.0000 8
2211.0000 15
1949.0000 12
1949.0000 7
1248.0000 8
1321.0000 8
1953.0000 11
2216.0000 10
1252.0000 10
2217.0000 12
1254.0000 6
1957.0000 12
1957.0000 14
1328.0000 10
1258.0000 8
2222.0000 15
1330.0000 9
1260.0000 9
1961.0000 8
1331.0000 10
1260.0000 6
1261.0000 9
1263.0000 12
1965.0000 7
1335.0000 8
2229.0000 6
1337.0000 8
2233.0000 12
1270.0000 6
1271.0000 10
2235.0000 6
1978.0000 7
1277.0000 8
1352.0000 9
2245.0000 8
2245.0000 10
2246.0000 8
2248.0000 8
1985.0000 15
2249.0000 7
1357.0000 5
1988.0000 11
2251.0000 15
1991.0000 13
2254.0000 9
2254.0000 3
