# deliveryTime  hopCount
148.0000 8
105.0000 10
183.0000 6
119.0000 6
96.0000 5
136.0000 4
227.0000 7
109.0000 5
1716.0000 7
1456.0000 4
1776.0000 5
81.0000 8
1530.0000 11
1566.0000 6
1844.0000 11
1853.0000 8
1593.0000 9
968.0000 7
1883.0000 7
1057.0000 7
1960.0000 6
1700.0000 5
1712.0000 5
1984.0000 6
1984.0000 6
1724.0000 6
1724.0000 5
1737.0000 6
1738.0000 8
1743.0000 12
1744.0000 3
2009.0000 8
2012.0000 6
2013.0000 6
2017.0000 6
1756.0000 9
1757.0000 6
1759.0000 12
1129.0000 8
2023.0000 7
2028.0000 9
1136.0000 9
1136.0000 10
1065.0000 6
2033.0000 7
1069.0000 8
2033.0000 12
1771.0000 9
2034.0000 9
2034.0000 6
1773.0000 12
1144.0000 5
1774.0000 11
2037.0000 9
1776.0000 8
2040.0000 7
1147.0000 7
2043.0000 8
2045.0000 7
1782.0000 3
2046.0000 12
2047.0000 9
1154.0000 5
1785.0000 10
1785.0000 5
1786.0000 12
1786.0000 11
1787.0000 8
2050.0000 6
2050.0000 8
1157.0000 5
1787.0000 8
2051.0000 12
2052.0000 9
2053.0000 6
1091.0000 7
2055.0000 9
1793.0000 10
2056.0000 7
2056.0000 5
1793.0000 8
1795.0000 9
2059.0000 7
2059.0000 7
1796.0000 11
2059.0000 9
2060.0000 4
1797.0000 6
1799.0000 12
1799.0000 9
2062.0000 5
1800.0000 9
2063.0000 9
2067.0000 6
1804.0000 10
2067.0000 6
1804.0000 14
2067.0000 5
2069.0000 8
2069.0000 7
2069.0000 6
139.0000 8
2070.0000 8
2071.0000 7
2072.0000 10
1809.0000 11
2073.0000 8
2073.0000 7
2073.0000 7
1811.0000 10
1811.0000 10
2075.0000 9
2075.0000 13
1813.0000 5
1813.0000 9
1814.0000 8
1185.0000 8
1815.0000 5
1185.0000 5
1815.0000 11
1815.0000 8
2078.0000 7
1815.0000 10
2079.0000 8
1186.0000 6
2080.0000 9
1817.0000 10
1187.0000 10
2081.0000 10
2081.0000 14
2083.0000 13
1820.0000 8
1822.0000 11
1194.0000 7
1194.0000 10
2088.0000 9
1825.0000 11
1826.0000 13
2089.0000 9
2090.0000 8
2091.0000 6
1828.0000 6
2092.0000 13
2092.0000 11
1830.0000 8
2094.0000 10
1831.0000 10
1831.0000 11
1831.0000 5
2095.0000 9
2095.0000 12
2096.0000 10
1833.0000 8
1834.0000 13
1834.0000 11
2097.0000 9
2099.0000 9
2099.0000 7
2099.0000 7
1208.0000 6
1839.0000 6
2102.0000 8
1839.0000 9
2103.0000 7
2104.0000 13
2104.0000 11
1140.0000 7
2105.0000 7
1212.0000 8
1842.0000 8
2105.0000 13
2107.0000 7
1214.0000 7
1145.0000 7
1145.0000 6
2109.0000 5
2109.0000 8
2110.0000 13
1218.0000 8
2111.0000 9
1850.0000 11
1851.0000 6
1851.0000 10
1852.0000 10
2117.0000 13
2117.0000 12
2117.0000 11
1854.0000 10
1224.0000 8
2119.0000 6
2119.0000 9
1857.0000 6
2120.0000 7
2121.0000 7
1157.0000 7
2122.0000 12
2123.0000 11
1861.0000 12
2124.0000 7
1232.0000 5
1862.0000 12
1233.0000 7
1863.0000 11
1864.0000 11
1864.0000 6
1163.0000 8
2128.0000 7
1866.0000 11
1866.0000 4
2129.0000 12
1236.0000 8
2129.0000 13
2130.0000 7
1166.0000 5
1869.0000 9
1869.0000 13
1240.0000 7
1170.0000 5
1872.0000 10
1172.0000 7
2136.0000 8
1245.0000 4
2139.0000 9
2139.0000 9
1176.0000 8
2140.0000 6
2141.0000 6
1880.0000 6
1881.0000 11
1251.0000 8
1881.0000 11
1180.0000 7
2145.0000 6
1181.0000 7
1182.0000 8
1182.0000 9
2146.0000 11
1183.0000 7
1884.0000 11
2147.0000 9
1884.0000 13
1255.0000 7
1885.0000 9
1256.0000 6
2150.0000 8
1186.0000 8
2150.0000 8
2152.0000 10
1260.0000 6
1191.0000 8
2155.0000 7
1264.0000 8
1266.0000 9
1266.0000 4
1196.0000 8
1899.0000 12
2163.0000 11
1270.0000 7
1271.0000 10
1271.0000 10
1901.0000 8
1903.0000 12
1203.0000 5
2167.0000 10
2168.0000 9
1204.0000 8
2169.0000 8
1205.0000 6
2170.0000 9
1279.0000 5
1209.0000 3
1912.0000 6
1212.0000 7
1913.0000 5
1213.0000 7
1285.0000 6
1916.0000 8
1917.0000 12
2181.0000 12
2181.0000 11
2183.0000 10
2184.0000 10
1292.0000 3
2185.0000 12
1293.0000 4
1223.0000 5
1223.0000 8
2188.0000 12
2190.0000 10
1226.0000 6
2190.0000 8
1927.0000 6
2192.0000 14
1930.0000 11
1930.0000 11
1523.0000 12
1302.0000 5
1932.0000 11
1303.0000 4
1232.0000 7
1306.0000 7
1307.0000 6
2200.0000 7
1308.0000 4
1308.0000 7
1308.0000 9
2201.0000 6
1309.0000 6
2203.0000 9
1942.0000 10
1942.0000 7
1312.0000 7
1943.0000 5
1943.0000 8
1945.0000 5
2209.0000 9
1317.0000 9
1317.0000 7
1247.0000 8
1949.0000 5
1950.0000 11
1320.0000 11
1249.0000 6
1320.0000 11
1250.0000 8
2215.0000 7
1952.0000 6
1323.0000 6
1323.0000 11
1252.0000 8
1323.0000 9
1253.0000 9
1325.0000 5
1255.0000 10
1958.0000 11
1328.0000 6
1329.0000 7
1330.0000 5
1961.0000 11
1331.0000 9
2225.0000 8
1333.0000 6
2226.0000 8
1556.0000 7
1334.0000 11
1264.0000 6
1264.0000 11
1264.0000 5
1965.0000 6
1967.0000 11
2230.0000 7
1266.0000 7
1968.0000 10
1269.0000 12
1972.0000 13
1342.0000 5
2236.0000 7
2237.0000 8
1344.0000 8
1275.0000 11
1277.0000 8
1277.0000 8
1978.0000 13
1350.0000 7
2243.0000 7
1279.0000 7
1350.0000 9
1281.0000 5
1352.0000 10
1281.0000 6
1984.0000 12
1576.0000 9
2247.0000 8
1984.0000 12
2248.0000 14
1577.0000 8
1355.0000 5
1985.0000 11
1356.0000 6
1357.0000 7
1987.0000 12
1987.0000 8
1287.0000 7
1359.0000 11
2254.0000 8
1583.0000 6
2255.0000 8
2256.0000 11
1585.0000 11
1293.0000 9
1364.0000 7
1587.0000 7
1587.0000 12
1365.0000 9
1365.0000 8
1295.0000 8
1295.0000 7
1295.0000 7
1295.0000 6
1996.0000 12
1296.0000 11
2260.0000 7
2261.0000 6
1368.0000 7
1369.0000 10
1299.0000 8
2263.0000 8
1371.0000 7
1372.0000 4
1372.0000 9
1594.0000 6
2003.0000 10
1595.0000 10
1373.0000 8
2267.0000 11
2004.0000 14
2005.0000 10
2269.0000 7
1376.0000 8
1377.0000 6
1306.0000 7
2007.0000 9
1599.0000 7
2271.0000 6
1307.0000 7
1309.0000 9
1309.0000 6
2273.0000 5
1309.0000 11
2011.0000 6
2011.0000 9
1311.0000 10
2275.0000 7
1382.0000 7
1312.0000 10
2276.0000 6
1312.0000 9
2013.0000 12
1605.0000 4
1383.0000 9
1313.0000 9
1316.0000 10
175.0000 5
2017.0000 10
2019.0000 5
1318.0000 10
1319.0000 11
1319.0000 7
1392.0000 6
1321.0000 11
1321.0000 8
1322.0000 11
1393.0000 5
2024.0000 10
2287.0000 7
1395.0000 6
1395.0000 8
1617.0000 8
1395.0000 8
1395.0000 6
2288.0000 7
1395.0000 10
1398.0000 9
2028.0000 12
1327.0000 6
1328.0000 6
1399.0000 8
1399.0000 10
1400.0000 9
1401.0000 5
1402.0000 6
2033.0000 6
1332.0000 9
2297.0000 9
2034.0000 7
1334.0000 8
1334.0000 7
2036.0000 6
1335.0000 11
1629.0000 7
2300.0000 8
1336.0000 11
2037.0000 9
2300.0000 8
1336.0000 11
1630.0000 10
2038.0000 11
2039.0000 13
1339.0000 11
1410.0000 8
1411.0000 5
2304.0000 15
