# time  hit_cache  total_cache  hit_cache/total_cache
88.0000 0 0 NaN
91.0000 0 0 NaN
91.0000 0 0 NaN
94.0000 0 0 NaN
97.0000 0 0 NaN
124.0000 0 0 NaN
127.0000 0 0 NaN
141.0000 0 0 NaN
144.0000 0 0 NaN
146.0000 0 0 NaN
146.0000 0 0 NaN
149.0000 0 0 NaN
152.0000 0 0 NaN
155.0000 0 0 NaN
155.0000 0 0 NaN
157.0000 0 0 NaN
158.0000 0 0 NaN
161.0000 0 0 NaN
167.0000 0 0 NaN
169.0000 0 0 NaN
171.0000 0 0 NaN
171.0000 0 0 NaN
172.0000 0 0 NaN
172.0000 0 0 NaN
174.0000 0 0 NaN
175.0000 0 0 NaN
175.0000 0 0 NaN
177.0000 0 0 NaN
177.0000 0 0 NaN
178.0000 0 0 NaN
178.0000 0 0 NaN
179.0000 0 0 NaN
180.0000 0 0 NaN
180.0000 0 0 NaN
180.0000 0 0 NaN
181.0000 0 0 NaN
181.0000 0 0 NaN
181.0000 0 0 NaN
182.0000 0 0 NaN
182.0000 0 0 NaN
182.0000 0 0 NaN
182.0000 0 0 NaN
183.0000 0 0 NaN
184.0000 0 0 NaN
184.0000 0 0 NaN
184.0000 0 0 NaN
184.0000 0 0 NaN
185.0000 0 0 NaN
185.0000 0 0 NaN
185.0000 0 0 NaN
186.0000 0 0 NaN
187.0000 0 0 NaN
187.0000 0 0 NaN
187.0000 0 0 NaN
187.0000 0 0 NaN
187.0000 0 0 NaN
187.0000 0 0 NaN
188.0000 0 0 NaN
189.0000 0 0 NaN
190.0000 0 0 NaN
190.0000 0 0 NaN
190.0000 0 0 NaN
191.0000 0 0 NaN
192.0000 0 0 NaN
193.0000 0 0 NaN
193.0000 0 0 NaN
193.0000 0 0 NaN
195.0000 0 0 NaN
195.0000 0 0 NaN
195.0000 0 0 NaN
195.0000 0 0 NaN
195.0000 0 0 NaN
196.0000 0 0 NaN
196.0000 0 0 NaN
196.0000 0 0 NaN
196.0000 0 0 NaN
196.0000 0 0 NaN
197.0000 0 0 NaN
197.0000 0 0 NaN
198.0000 0 0 NaN
198.0000 0 0 NaN
199.0000 0 0 NaN
199.0000 0 0 NaN
199.0000 0 0 NaN
199.0000 0 0 NaN
199.0000 0 0 NaN
199.0000 0 0 NaN
200.0000 0 0 NaN
200.0000 0 0 NaN
200.0000 0 0 NaN
200.0000 0 0 NaN
201.0000 0 0 NaN
202.0000 0 0 NaN
202.0000 0 0 NaN
202.0000 0 0 NaN
202.0000 0 0 NaN
203.0000 0 0 NaN
203.0000 0 0 NaN
203.0000 0 0 NaN
204.0000 0 0 NaN
204.0000 0 0 NaN
204.0000 0 0 NaN
204.0000 0 0 NaN
205.0000 0 0 NaN
205.0000 0 0 NaN
205.0000 0 0 NaN
206.0000 0 0 NaN
206.0000 0 0 NaN
206.0000 0 0 NaN
207.0000 0 0 NaN
207.0000 0 0 NaN
207.0000 0 0 NaN
207.0000 0 0 NaN
207.0000 0 0 NaN
207.0000 0 0 NaN
207.0000 0 0 NaN
208.0000 0 0 NaN
208.0000 0 0 NaN
209.0000 0 0 NaN
209.0000 0 0 NaN
209.0000 0 0 NaN
210.0000 0 0 NaN
210.0000 0 0 NaN
210.0000 0 0 NaN
210.0000 0 0 NaN
211.0000 0 0 NaN
211.0000 0 0 NaN
211.0000 0 0 NaN
211.0000 0 0 NaN
212.0000 0 0 NaN
212.0000 0 0 NaN
213.0000 0 0 NaN
213.0000 0 0 NaN
214.0000 0 0 NaN
214.0000 0 0 NaN
214.0000 0 0 NaN
214.0000 0 0 NaN
214.0000 0 0 NaN
214.0000 0 0 NaN
214.0000 0 0 NaN
215.0000 0 0 NaN
215.0000 0 0 NaN
215.0000 0 0 NaN
216.0000 0 0 NaN
217.0000 0 0 NaN
217.0000 0 0 NaN
217.0000 0 0 NaN
217.0000 0 0 NaN
218.0000 0 0 NaN
218.0000 0 0 NaN
218.0000 0 0 NaN
218.0000 0 0 NaN
218.0000 0 0 NaN
219.0000 0 0 NaN
219.0000 0 0 NaN
219.0000 0 0 NaN
219.0000 0 0 NaN
