# deliveryTime  hopCount
148.0000 8
105.0000 10
183.0000 6
119.0000 6
96.0000 5
136.0000 4
227.0000 7
109.0000 5
81.0000 8
123.0000 6
117.0000 6
128.0000 12
150.0000 8
169.0000 8
52.0000 6
53.0000 6
66.0000 6
78.0000 3
139.0000 5
174.0000 10
200.0000 5
201.0000 5
213.0000 8
214.0000 5
242.0000 7
301.0000 4
119.0000 3
21.0000 4
82.0000 5
86.0000 5
92.0000 6
95.0000 6
98.0000 6
99.0000 8
109.0000 9
110.0000 7
111.0000 7
114.0000 7
119.0000 6
122.0000 6
125.0000 5
126.0000 5
127.0000 5
128.0000 7
129.0000 5
129.0000 9
134.0000 7
136.0000 8
136.0000 6
138.0000 6
141.0000 8
141.0000 5
144.0000 4
145.0000 10
145.0000 4
145.0000 6
147.0000 8
148.0000 8
152.0000 5
163.0000 9
168.0000 10
172.0000 5
176.0000 8
176.0000 6
176.0000 9
178.0000 11
178.0000 7
180.0000 10
180.0000 10
193.0000 8
194.0000 8
199.0000 8
207.0000 4
228.0000 8
155.0000 4
237.0000 8
92.0000 5
260.0000 11
284.0000 11
295.0000 11
154.0000 7
335.0000 7
343.0000 8
211.0000 8
16.0000 3
90.0000 5
266.0000 9
95.0000 2
315.0000 4
152.0000 5
341.0000 5
93.0000 5
162.0000 4
166.0000 5
88.0000 3
227.0000 9
262.0000 8
76.0000 4
184.0000 6
107.0000 5
67.0000 3
93.0000 4
110.0000 6
111.0000 4
118.0000 3
166.0000 5
168.0000 5
200.0000 5
5873.0000 8
5884.0000 6
5001.0000 8
5004.0000 9
4937.0000 5
4429.0000 4
5249.0000 6
5659.0000 4
5030.0000 10
5033.0000 7
5263.0000 6
5386.0000 6
5266.0000 7
5392.0000 10
3838.0000 7
4237.0000 4
5944.0000 6
5057.0000 5
3727.0000 7
5953.0000 8
5958.0000 7
5960.0000 7
5410.0000 7
5412.0000 5
5700.0000 11
5002.0000 5
5002.0000 6
5297.0000 8
2462.0000 9
4060.0000 8
5101.0000 6
4509.0000 5
4759.0000 6
5447.0000 5
2983.0000 7
2318.0000 10
5042.0000 5
5043.0000 8
3073.0000 8
3343.0000 6
4525.0000 7
3909.0000 10
2746.0000 9
2999.0000 5
2499.0000 8
4785.0000 8
5137.0000 5
2204.0000 6
3012.0000 3
5067.0000 5
5070.0000 11
4547.0000 7
218.0000 5
5367.0000 7
3022.0000 6
3105.0000 9
3024.0000 6
4557.0000 7
4565.0000 8
2785.0000 9
5162.0000 7
4289.0000 9
4823.0000 10
4359.0000 8
4830.0000 9
3964.0000 13
6071.0000 9
4368.0000 7
5524.0000 8
4311.0000 8
4375.0000 9
4375.0000 7
3415.0000 8
4599.0000 8
3068.0000 4
3153.0000 5
3991.0000 9
3993.0000 8
6099.0000 9
3994.0000 11
2585.0000 5
5214.0000 7
4404.0000 3
3441.0000 6
2592.0000 5
2842.0000 10
2843.0000 10
4346.0000 6
3892.0000 8
3449.0000 8
2851.0000 7
5231.0000 7
3900.0000 8
3106.0000 5
249.0000 11
2305.0000 8
3197.0000 10
322.0000 5
4652.0000 9
5247.0000 7
3202.0000 10
1487.0000 7
3123.0000 7
2625.0000 6
2325.0000 4
5481.0000 9
4450.0000 11
2636.0000 5
962.0000 11
2558.0000 12
2334.0000 8
2561.0000 11
1510.0000 9
2068.0000 9
1359.0000 8
2072.0000 6
5276.0000 9
1187.0000 6
1516.0000 6
975.0000 6
1366.0000 6
2572.0000 11
3949.0000 10
2487.0000 7
987.0000 5
3163.0000 10
1533.0000 7
371.0000 10
2092.0000 6
786.0000 10
1382.0000 8
996.0000 4
2097.0000 10
4088.0000 12
3969.0000 7
4709.0000 6
2603.0000 7
2378.0000 5
2110.0000 10
3538.0000 7
2521.0000 7
806.0000 5
3272.0000 8
2386.0000 7
810.0000 9
1411.0000 8
1565.0000 9
552.0000 5
2124.0000 9
1570.0000 5
2539.0000 6
3290.0000 9
2709.0000 10
563.0000 8
563.0000 6
3212.0000 4
2138.0000 11
3297.0000 13
3216.0000 4
1430.0000 10
2968.0000 9
3302.0000 10
839.0000 5
1589.0000 8
3306.0000 9
2644.0000 6
848.0000 11
584.0000 5
1056.0000 9
849.0000 6
1060.0000 4
1062.0000 8
1450.0000 8
241.0000 8
595.0000 3
2742.0000 5
2576.0000 7
861.0000 11
862.0000 5
1614.0000 8
4043.0000 7
1463.0000 8
2752.0000 11
2177.0000 7
5603.0000 7
1468.0000 7
3005.0000 7
5383.0000 7
2760.0000 7
878.0000 9
2194.0000 9
1095.0000 10
5400.0000 7
630.0000 6
640.0000 10
6050.0000 9
5421.0000 4
6316.0000 9
1122.0000 5
5081.0000 5
5362.0000 10
1520.0000 7
2808.0000 5
4398.0000 9
6068.0000 4
665.0000 7
1679.0000 7
2645.0000 5
2736.0000 11
5670.0000 9
5452.0000 6
6353.0000 6
951.0000 7
4129.0000 9
4249.0000 7
4868.0000 7
5463.0000 4
957.0000 6
545.0000 7
4432.0000 6
5124.0000 7
6101.0000 7
2539.0000 5
3429.0000 8
978.0000 5
3719.0000 4
6125.0000 10
4167.0000 6
1739.0000 7
3723.0000 7
4907.0000 10
1413.0000 11
6133.0000 8
4690.0000 11
5158.0000 6
4632.0000 7
5730.0000 10
83.0000 6
1596.0000 6
2717.0000 4
1210.0000 6
4638.0000 10
1005.0000 10
2585.0000 5
253.0000 9
5181.0000 10
4654.0000 9
6163.0000 8
5534.0000 5
763.0000 5
5468.0000 3
769.0000 8
770.0000 5
772.0000 5
3185.0000 9
2859.0000 6
3479.0000 6
3235.0000 4
6516.0000 5
5855.0000 6
6268.0000 8
5647.0000 5
6292.0000 8
1767.0000 3
2483.0000 6
4649.0000 7
1208.0000 9
3942.0000 6
4690.0000 6
5660.0000 8
827.0000 5
4419.0000 8
199.0000 6
6400.0000 12
1002.0000 4
4965.0000 7
3401.0000 11
4452.0000 9
2590.0000 6
3015.0000 8
3103.0000 5
892.0000 7
4787.0000 5
3200.0000 14
917.0000 5
5031.0000 10
4069.0000 6
4808.0000 8
3722.0000 10
3724.0000 6
3475.0000 10
3228.0000 6
5262.0000 6
3480.0000 5
947.0000 12
1576.0000 9
3252.0000 11
2949.0000 12
974.0000 10
3274.0000 7
4127.0000 6
95.0000 8
5063.0000 7
3315.0000 8
3162.0000 8
1659.0000 10
1875.0000 9
3921.0000 15
2237.0000 7
3078.0000 7
2819.0000 8
5162.0000 11
2287.0000 7
1204.0000 7
5268.0000 12
4127.0000 10
125.0000 10
4431.0000 10
4433.0000 5
5642.0000 7
3669.0000 15
6031.0000 13
5506.0000 9
4262.0000 4
2486.0000 7
4023.0000 9
3201.0000 5
1484.0000 6
1484.0000 9
3703.0000 7
99.0000 8
2957.0000 8
4404.0000 5
7093.0000 4
3756.0000 13
2553.0000 7
3.0000 2
2235.0000 6
2625.0000 9
2268.0000 4
1950.0000 3
76.0000 4
85.0000 3
85.0000 5
93.0000 4
99.0000 4
106.0000 3
107.0000 5
109.0000 3
113.0000 3
116.0000 2
120.0000 5
124.0000 2
126.0000 4
126.0000 4
128.0000 3
128.0000 4
129.0000 4
129.0000 2
130.0000 5
131.0000 3
133.0000 4
135.0000 2
144.0000 5
151.0000 5
152.0000 5
153.0000 5
154.0000 5
155.0000 4
156.0000 5
157.0000 4
157.0000 5
157.0000 5
161.0000 2
164.0000 2
166.0000 4
169.0000 5
173.0000 6
174.0000 4
176.0000 5
177.0000 4
179.0000 3
6640.0000 6
181.0000 6
182.0000 6
6369.0000 14
185.0000 7
185.0000 6
186.0000 5
3786.0000 12
188.0000 3
188.0000 4
1948.0000 7
189.0000 6
192.0000 4
192.0000 5
192.0000 3
192.0000 6
193.0000 5
195.0000 6
3935.0000 7
198.0000 6
198.0000 6
198.0000 7
200.0000 7
207.0000 6
213.0000 7
218.0000 4
219.0000 6
219.0000 7
