# deliveryTime  hopCount
148.0000 8
105.0000 10
183.0000 6
119.0000 6
96.0000 5
136.0000 4
227.0000 7
109.0000 5
1716.0000 7
1456.0000 4
1776.0000 5
1520.0000 10
81.0000 8
1526.0000 11
1790.0000 6
1792.0000 9
1530.0000 11
1795.0000 10
1535.0000 5
1557.0000 8
1823.0000 5
1566.0000 6
1830.0000 8
1570.0000 8
1576.0000 5
1840.0000 7
1580.0000 10
1580.0000 11
1844.0000 11
1846.0000 10
1847.0000 8
1587.0000 3
1853.0000 8
1593.0000 9
1856.0000 8
1594.0000 4
1859.0000 9
1598.0000 10
1599.0000 4
1601.0000 4
1602.0000 5
1870.0000 5
1870.0000 5
1873.0000 10
1873.0000 8
1610.0000 8
1613.0000 9
1613.0000 5
1614.0000 10
1877.0000 5
1880.0000 6
1880.0000 7
1882.0000 8
1620.0000 6
1883.0000 7
1883.0000 7
1622.0000 9
1627.0000 5
1627.0000 10
1891.0000 8
123.0000 6
1629.0000 5
1893.0000 7
1631.0000 9
1631.0000 12
1895.0000 10
1895.0000 10
1635.0000 10
1636.0000 5
1639.0000 5
1640.0000 10
1640.0000 10
1905.0000 6
1645.0000 11
1646.0000 11
1909.0000 7
1910.0000 6
1910.0000 6
1911.0000 6
1912.0000 8
1912.0000 6
1912.0000 7
1650.0000 3
1650.0000 13
1650.0000 6
1652.0000 13
1652.0000 4
1915.0000 7
1652.0000 9
1653.0000 10
1653.0000 10
1919.0000 7
1919.0000 9
1919.0000 6
1657.0000 9
1921.0000 6
1658.0000 5
1658.0000 4
1659.0000 3
1659.0000 13
1924.0000 6
1925.0000 5
1662.0000 10
1925.0000 8
1925.0000 7
1032.0000 5
1926.0000 6
1928.0000 4
1928.0000 6
1666.0000 11
1930.0000 7
1667.0000 4
966.0000 7
1930.0000 7
1668.0000 5
1669.0000 9
1934.0000 5
1934.0000 8
1935.0000 9
1936.0000 10
1674.0000 11
1674.0000 9
1674.0000 4
1674.0000 7
1938.0000 6
1676.0000 10
1939.0000 6
1939.0000 7
1940.0000 5
1940.0000 9
1678.0000 12
1942.0000 7
1679.0000 7
1943.0000 8
1680.0000 7
1680.0000 3
1681.0000 7
1682.0000 11
1682.0000 9
1682.0000 5
1946.0000 5
1683.0000 9
1946.0000 6
1685.0000 11
1948.0000 6
1949.0000 7
1686.0000 11
1949.0000 6
1686.0000 7
1950.0000 6
1687.0000 9
1950.0000 8
1687.0000 3
1688.0000 13
1952.0000 5
1689.0000 12
1952.0000 5
1953.0000 7
1953.0000 7
1690.0000 9
1953.0000 7
1955.0000 6
1955.0000 5
1956.0000 6
1956.0000 9
1956.0000 7
1957.0000 8
1957.0000 10
1957.0000 8
1957.0000 7
1957.0000 7
1695.0000 5
1695.0000 8
1695.0000 10
1696.0000 11
1696.0000 9
1696.0000 4
1697.0000 10
1697.0000 7
1697.0000 11
1960.0000 5
1697.0000 9
1697.0000 10
1697.0000 9
1698.0000 7
1961.0000 6
1961.0000 6
1962.0000 7
1699.0000 5
1699.0000 11
1963.0000 9
1700.0000 8
1701.0000 5
1964.0000 5
1964.0000 6
1701.0000 11
1964.0000 6
1702.0000 12
1702.0000 9
1965.0000 7
1703.0000 9
1703.0000 10
1966.0000 6
1967.0000 10
1704.0000 7
1704.0000 11
1968.0000 7
1075.0000 4
1705.0000 11
1968.0000 7
1968.0000 7
1705.0000 8
1968.0000 8
1969.0000 8
1706.0000 6
1969.0000 7
1707.0000 10
1970.0000 5
1970.0000 7
1708.0000 9
1708.0000 4
1971.0000 5
1972.0000 6
1972.0000 8
1008.0000 5
1973.0000 8
1710.0000 12
1974.0000 8
1712.0000 10
1975.0000 8
1712.0000 11
1713.0000 9
1713.0000 11
1713.0000 10
1713.0000 5
1977.0000 7
1977.0000 7
1715.0000 9
1715.0000 8
1715.0000 7
1979.0000 9
1716.0000 11
1716.0000 9
1979.0000 8
1716.0000 10
1717.0000 12
1088.0000 9
1718.0000 8
1981.0000 6
1981.0000 6
1982.0000 9
1982.0000 8
1982.0000 9
1982.0000 7
1983.0000 7
1983.0000 8
1983.0000 7
1721.0000 10
1985.0000 7
1722.0000 9
1986.0000 7
1723.0000 9
1723.0000 9
1723.0000 9
1723.0000 9
1726.0000 8
1726.0000 8
1726.0000 10
1989.0000 8
1989.0000 8
1097.0000 6
1097.0000 10
1727.0000 11
1992.0000 8
1729.0000 6
1729.0000 4
1729.0000 9
1993.0000 6
1730.0000 9
1730.0000 9
1730.0000 10
1030.0000 10
1994.0000 7
1995.0000 7
1102.0000 4
1995.0000 7
1995.0000 8
1032.0000 6
1733.0000 3
1996.0000 7
1996.0000 7
1733.0000 9
1734.0000 12
1997.0000 7
1998.0000 7
1735.0000 9
1035.0000 7
1736.0000 10
1737.0000 10
2000.0000 8
2001.0000 9
2001.0000 8
2001.0000 9
1108.0000 8
1108.0000 10
2001.0000 7
1109.0000 8
1739.0000 10
2002.0000 7
1740.0000 6
1741.0000 10
1741.0000 10
1741.0000 7
1741.0000 9
2004.0000 8
1741.0000 12
2005.0000 8
1113.0000 9
1042.0000 8
1113.0000 5
2006.0000 7
2007.0000 9
1043.0000 3
2008.0000 7
2008.0000 7
1746.0000 11
2009.0000 2
1046.0000 9
1747.0000 9
1046.0000 4
1748.0000 9
1047.0000 8
1118.0000 6
1118.0000 7
1749.0000 10
1749.0000 10
2012.0000 6
1749.0000 12
1749.0000 8
1121.0000 8
1751.0000 9
1051.0000 8
2015.0000 7
1752.0000 11
1123.0000 11
1753.0000 6
2017.0000 8
2017.0000 6
1755.0000 10
1054.0000 6
2018.0000 7
2019.0000 6
2019.0000 7
1127.0000 8
1127.0000 9
1757.0000 9
1759.0000 9
1759.0000 10
2023.0000 5
2023.0000 8
1060.0000 8
1761.0000 10
1060.0000 8
2025.0000 8
2026.0000 7
1133.0000 6
1134.0000 10
2027.0000 8
2027.0000 7
2027.0000 7
2027.0000 9
2028.0000 7
1766.0000 10
1767.0000 7
1767.0000 10
1767.0000 10
1768.0000 10
2031.0000 6
2031.0000 6
1769.0000 12
1140.0000 8
2033.0000 7
1141.0000 8
1771.0000 9
1141.0000 9
2034.0000 7
1771.0000 11
2035.0000 9
1142.0000 5
1143.0000 6
1773.0000 10
1774.0000 11
1073.0000 6
1144.0000 6
1073.0000 9
1774.0000 10
1074.0000 8
1775.0000 7
1775.0000 9
2039.0000 9
1075.0000 8
1147.0000 8
2040.0000 6
1076.0000 8
1149.0000 10
1779.0000 10
1149.0000 6
1780.0000 10
1150.0000 7
1079.0000 7
1150.0000 5
1150.0000 8
1150.0000 6
1781.0000 5
1080.0000 5
1080.0000 8
1151.0000 9
1080.0000 8
1152.0000 9
1152.0000 6
2045.0000 9
1782.0000 10
1152.0000 6
1153.0000 9
1082.0000 7
2046.0000 6
1083.0000 6
2047.0000 7
1083.0000 6
1154.0000 8
1155.0000 8
1155.0000 8
1785.0000 10
1785.0000 5
2048.0000 8
1786.0000 11
1085.0000 7
1787.0000 10
1086.0000 10
1787.0000 10
1787.0000 12
2051.0000 6
1087.0000 10
2051.0000 9
1159.0000 6
1088.0000 4
122.0000 7
2053.0000 7
1160.0000 8
1161.0000 9
1161.0000 10
1791.0000 10
1091.0000 7
1092.0000 8
1164.0000 6
1093.0000 8
2057.0000 10
1165.0000 9
1165.0000 8
1094.0000 6
1796.0000 5
2059.0000 8
1166.0000 6
2060.0000 7
2060.0000 7
2060.0000 10
1168.0000 7
1097.0000 7
1168.0000 7
1097.0000 8
1097.0000 5
2062.0000 9
1169.0000 5
1169.0000 6
1170.0000 10
1170.0000 6
1099.0000 8
1800.0000 9
1800.0000 7
1171.0000 6
1801.0000 11
1172.0000 5
1172.0000 8
1101.0000 8
1101.0000 7
1102.0000 7
1803.0000 10
1173.0000 5
1174.0000 6
1174.0000 8
1804.0000 10
1174.0000 7
