# deliveryTime  hopCount
9.0000 3
33.0000 4
40.0000 4
43.0000 4
51.0000 4
51.0000 8
4.0000 2
32.0000 4
66.0000 8
67.0000 4
69.0000 5
52.0000 6
72.0000 4
81.0000 8
61.0000 5
33.0000 5
88.0000 8
38.0000 4
68.0000 4
92.0000 6
39.0000 4
39.0000 2
93.0000 5
95.0000 4
95.0000 8
95.0000 4
41.0000 5
96.0000 5
96.0000 7
96.0000 10
3.0000 2
99.0000 6
99.0000 4
99.0000 5
6.0000 2
101.0000 6
78.0000 3
102.0000 8
105.0000 4
53.0000 5
53.0000 4
54.0000 3
108.0000 5
84.0000 4
41.0000 2
85.0000 5
109.0000 6
97.0000 4
86.0000 6
86.0000 6
57.0000 4
111.0000 4
57.0000 5
111.0000 8
88.0000 3
45.0000 2
113.0000 6
62.0000 4
92.0000 5
28.0000 2
116.0000 3
117.0000 6
117.0000 9
57.0000 2
65.0000 3
98.0000 7
120.0000 10
120.0000 6
121.0000 10
121.0000 13
97.0000 6
68.0000 5
124.0000 5
71.0000 3
103.0000 5
25.0000 4
128.0000 5
129.0000 6
129.0000 3
130.0000 4
130.0000 6
121.0000 7
77.0000 8
78.0000 4
132.0000 4
132.0000 15
80.0000 4
4.0000 2
137.0000 6
138.0000 6
77.0000 2
115.0000 6
86.0000 4
108.0000 4
118.0000 6
143.0000 4
119.0000 2
119.0000 5
144.0000 9
98.0000 6
43.0000 3
121.0000 4
5.0000 2
53.0000 2
46.0000 4
149.0000 14
11.0000 2
97.0000 4
151.0000 10
152.0000 4
153.0000 7
52.0000 4
40.0000 3
95.0000 2
55.0000 4
157.0000 12
104.0000 4
108.0000 5
159.0000 7
105.0000 4
105.0000 8
28.0000 2
160.0000 5
99.0000 4
21.0000 2
160.0000 8
161.0000 3
161.0000 3
67.0000 2
161.0000 5
138.0000 4
60.0000 4
24.0000 2
75.0000 2
103.0000 4
111.0000 9
165.0000 11
166.0000 6
166.0000 8
27.0000 2
66.0000 3
164.0000 21
169.0000 4
169.0000 12
111.0000 4
146.0000 6
170.0000 8
171.0000 6
117.0000 4
140.0000 4
173.0000 4
120.0000 5
175.0000 5
37.0000 2
124.0000 5
178.0000 6
179.0000 12
156.0000 3
112.0000 2
156.0000 5
78.0000 4
157.0000 4
157.0000 6
80.0000 3
13.0000 2
159.0000 3
184.0000 8
144.0000 5
185.0000 13
185.0000 4
132.0000 9
123.0000 4
168.0000 6
138.0000 4
139.0000 9
170.0000 3
196.0000 10
196.0000 11
172.0000 3
142.0000 3
173.0000 6
9.0000 2
165.0000 4
174.0000 6
144.0000 5
56.0000 2
105.0000 3
145.0000 4
52.0000 2
62.0000 2
178.0000 5
202.0000 10
178.0000 4
148.0000 2
203.0000 7
101.0000 4
180.0000 6
205.0000 4
152.0000 9
112.0000 2
153.0000 6
154.0000 3
4.0000 2
149.0000 2
211.0000 9
158.0000 8
159.0000 4
180.0000 4
119.0000 2
153.0000 4
160.0000 2
182.0000 4
161.0000 4
67.0000 2
216.0000 4
216.0000 5
192.0000 3
192.0000 5
193.0000 6
75.0000 2
156.0000 2
47.0000 2
164.0000 4
15.0000 2
196.0000 5
196.0000 6
5.0000 2
33.0000 2
198.0000 5
134.0000 2
18.0000 2
55.0000 2
202.0000 6
87.0000 2
14.0000 2
173.0000 2
203.0000 4
203.0000 6
175.0000 3
230.0000 8
88.0000 2
178.0000 4
130.0000 4
44.0000 2
180.0000 5
132.0000 2
151.0000 5
182.0000 4
66.0000 2
186.0000 3
146.0000 2
186.0000 8
186.0000 4
138.0000 2
93.0000 2
217.0000 5
141.0000 5
220.0000 6
245.0000 9
85.0000 3
192.0000 5
246.0000 11
65.0000 2
204.0000 6
79.0000 2
249.0000 5
195.0000 4
78.0000 2
196.0000 6
163.0000 2
228.0000 5
229.0000 5
152.0000 2
4.0000 2
79.0000 2
202.0000 4
202.0000 7
233.0000 2
155.0000 4
204.0000 8
164.0000 2
201.0000 2
92.0000 2
161.0000 5
262.0000 6
240.0000 5
87.0000 2
163.0000 2
241.0000 5
84.0000 2
212.0000 6
45.0000 2
266.0000 7
212.0000 4
25.0000 2
213.0000 8
215.0000 8
215.0000 8
56.0000 2
251.0000 5
276.0000 3
174.0000 2
175.0000 4
223.0000 5
253.0000 8
185.0000 2
255.0000 4
75.0000 2
219.0000 2
226.0000 8
257.0000 3
181.0000 4
250.0000 5
181.0000 2
95.0000 2
186.0000 2
231.0000 5
18.0000 2
9.0000 2
86.0000 2
238.0000 4
154.0000 2
29.0000 2
194.0000 4
243.0000 4
273.0000 4
273.0000 2
92.0000 2
5.0000 2
268.0000 6
278.0000 3
279.0000 5
209.0000 2
244.0000 4
128.0000 2
71.0000 2
286.0000 4
257.0000 7
3.0000 2
258.0000 4
282.0000 4
78.0000 2
105.0000 2
137.0000 2
242.0000 4
259.0000 3
211.0000 6
38.0000 2
219.0000 4
82.0000 2
