# deliveryTime  hopCount
33.0000 8
53.0000 9
115.0000 9
107.0000 9
28.0000 3
130.0000 11
99.0000 5
107.0000 6
117.0000 11
156.0000 5
157.0000 6
101.0000 4
163.0000 7
118.0000 6
126.0000 7
143.0000 4
140.0000 7
150.0000 6
171.0000 9
145.0000 5
36.0000 4
156.0000 8
115.0000 5
198.0000 10
137.0000 9
224.0000 12
166.0000 4
158.0000 6
222.0000 6
182.0000 6
163.0000 6
149.0000 4
94.0000 5
215.0000 6
154.0000 5
241.0000 5
212.0000 6
219.0000 7
196.0000 8
156.0000 6
243.0000 12
192.0000 6
279.0000 7
255.0000 11
240.0000 10
311.0000 6
266.0000 8
226.0000 4
72.0000 3
238.0000 3
310.0000 4
329.0000 16
224.0000 7
77.0000 4
320.0000 7
237.0000 5
265.0000 7
260.0000 5
249.0000 6
240.0000 7
254.0000 3
332.0000 4
214.0000 5
275.0000 4
203.0000 5
268.0000 5
341.0000 9
325.0000 10
308.0000 5
213.0000 5
280.0000 7
284.0000 4
192.0000 4
224.0000 4
243.0000 6
282.0000 7
295.0000 4
344.0000 7
27.0000 2
264.0000 6
277.0000 6
315.0000 7
211.0000 5
241.0000 4
147.0000 5
305.0000 10
386.0000 8
306.0000 8
303.0000 6
151.0000 5
313.0000 8
316.0000 11
321.0000 7
365.0000 9
366.0000 8
173.0000 7
319.0000 7
314.0000 5
309.0000 7
289.0000 5
328.0000 7
281.0000 3
229.0000 5
332.0000 8
250.0000 3
325.0000 7
249.0000 6
297.0000 7
339.0000 6
322.0000 5
261.0000 6
312.0000 6
306.0000 5
388.0000 11
246.0000 5
334.0000 5
335.0000 6
375.0000 6
283.0000 7
352.0000 9
308.0000 8
386.0000 2
286.0000 9
382.0000 5
342.0000 10
187.0000 4
357.0000 10
351.0000 6
352.0000 5
352.0000 9
335.0000 4
248.0000 3
438.0000 8
354.0000 6
316.0000 6
300.0000 4
206.0000 3
281.0000 7
303.0000 5
286.0000 6
366.0000 7
172.0000 6
184.0000 2
370.0000 5
406.0000 5
297.0000 4
339.0000 6
193.0000 3
410.0000 9
222.0000 5
263.0000 5
317.0000 5
317.0000 4
283.0000 4
269.0000 4
418.0000 6
320.0000 4
352.0000 7
320.0000 5
324.0000 7
324.0000 9
247.0000 7
328.0000 7
386.0000 8
295.0000 7
387.0000 5
281.0000 5
356.0000 5
327.0000 5
392.0000 5
404.0000 8
393.0000 10
344.0000 7
326.0000 5
287.0000 6
395.0000 4
370.0000 7
224.0000 6
291.0000 4
418.0000 10
342.0000 8
197.0000 5
368.0000 6
344.0000 4
297.0000 3
412.0000 6
377.0000 8
334.0000 8
422.0000 8
450.0000 11
350.0000 6
399.0000 6
437.0000 6
341.0000 5
349.0000 3
342.0000 4
359.0000 5
471.0000 3
459.0000 8
426.0000 7
284.0000 6
347.0000 4
317.0000 4
508.0000 7
332.0000 4
320.0000 7
325.0000 7
364.0000 5
414.0000 4
354.0000 5
484.0000 11
109.0000 3
226.0000 6
560.0000 11
420.0000 6
394.0000 8
221.0000 2
384.0000 6
95.0000 3
324.0000 6
382.0000 8
317.0000 3
498.0000 4
237.0000 5
499.0000 6
502.0000 7
404.0000 4
328.0000 4
503.0000 7
317.0000 5
378.0000 7
411.0000 5
513.0000 9
281.0000 3
516.0000 12
406.0000 3
420.0000 6
400.0000 5
561.0000 8
234.0000 4
479.0000 8
394.0000 7
395.0000 5
481.0000 4
216.0000 6
407.0000 5
423.0000 7
528.0000 6
495.0000 8
433.0000 8
369.0000 9
459.0000 10
501.0000 5
371.0000 8
398.0000 3
391.0000 3
514.0000 4
429.0000 5
547.0000 9
433.0000 6
288.0000 4
506.0000 5
286.0000 4
442.0000 4
422.0000 6
418.0000 8
551.0000 6
555.0000 10
513.0000 6
322.0000 4
522.0000 8
443.0000 5
486.0000 5
558.0000 5
454.0000 4
418.0000 6
458.0000 5
440.0000 6
397.0000 6
463.0000 6
360.0000 6
476.0000 8
411.0000 6
476.0000 7
592.0000 12
297.0000 5
468.0000 4
579.0000 5
643.0000 5
430.0000 5
452.0000 7
460.0000 5
293.0000 7
519.0000 6
214.0000 4
460.0000 6
294.0000 3
568.0000 12
327.0000 4
595.0000 10
670.0000 11
596.0000 7
436.0000 6
618.0000 5
469.0000 5
456.0000 8
457.0000 6
206.0000 3
581.0000 10
505.0000 6
570.0000 7
485.0000 7
509.0000 3
405.0000 5
575.0000 7
434.0000 4
513.0000 5
396.0000 6
619.0000 8
430.0000 6
378.0000 7
672.0000 7
478.0000 6
407.0000 4
517.0000 7
215.0000 4
504.0000 5
471.0000 3
523.0000 6
536.0000 6
564.0000 6
679.0000 7
376.0000 7
686.0000 7
654.0000 5
682.0000 8
418.0000 3
532.0000 5
444.0000 4
372.0000 4
469.0000 6
641.0000 7
544.0000 10
617.0000 12
449.0000 4
487.0000 6
9.0000 2
459.0000 5
519.0000 4
662.0000 10
650.0000 7
506.0000 5
483.0000 3
700.0000 12
429.0000 3
679.0000 6
528.0000 8
564.0000 10
599.0000 5
550.0000 8
516.0000 4
679.0000 9
522.0000 7
589.0000 6
339.0000 4
195.0000 3
668.0000 5
434.0000 8
687.0000 5
458.0000 7
717.0000 7
512.0000 4
528.0000 5
512.0000 5
514.0000 7
723.0000 13
433.0000 5
657.0000 10
585.0000 9
733.0000 8
509.0000 4
727.0000 6
733.0000 12
416.0000 4
516.0000 7
617.0000 6
662.0000 9
648.0000 5
512.0000 10
656.0000 6
470.0000 7
581.0000 5
516.0000 5
670.0000 8
568.0000 6
694.0000 7
769.0000 10
521.0000 7
478.0000 2
715.0000 7
123.0000 2
534.0000 7
591.0000 9
705.0000 11
716.0000 6
545.0000 6
512.0000 6
708.0000 5
582.0000 4
614.0000 5
743.0000 5
509.0000 6
452.0000 5
687.0000 9
724.0000 8
757.0000 16
236.0000 2
673.0000 5
608.0000 5
690.0000 10
522.0000 6
499.0000 4
496.0000 5
719.0000 9
491.0000 5
592.0000 5
696.0000 6
723.0000 7
538.0000 4
737.0000 9
502.0000 4
577.0000 6
683.0000 9
684.0000 11
563.0000 4
479.0000 4
630.0000 8
179.0000 2
695.0000 6
613.0000 9
613.0000 6
618.0000 4
690.0000 7
605.0000 5
732.0000 5
735.0000 6
623.0000 7
640.0000 8
780.0000 15
645.0000 10
758.0000 3
615.0000 4
719.0000 5
711.0000 11
599.0000 8
186.0000 2
639.0000 5
749.0000 9
722.0000 8
641.0000 5
754.0000 8
794.0000 6
590.0000 5
727.0000 9
581.0000 6
770.0000 7
756.0000 5
422.0000 5
656.0000 3
728.0000 6
803.0000 7
425.0000 3
592.0000 8
763.0000 11
