# deliveryTime  hopCount
33.0000 7
44.0000 9
25.0000 7
37.0000 10
49.0000 8
66.0000 14
34.0000 7
29.0000 5
51.0000 8
34.0000 7
26.0000 7
12.0000 3
55.0000 9
29.0000 6
15.0000 4
28.0000 5
20.0000 5
26.0000 6
19.0000 5
43.0000 10
41.0000 4
25.0000 5
9.0000 2
33.0000 5
115.0000 8
37.0000 6
26.0000 6
24.0000 7
43.0000 9
49.0000 9
49.0000 8
4741.0000 9
4657.0000 6
5079.0000 7
4681.0000 7
4406.0000 9
4707.0000 9
4416.0000 6
4833.0000 8
3457.0000 14
3459.0000 6
4722.0000 8
4842.0000 8
5130.0000 5
4847.0000 12
5138.0000 7
5140.0000 7
4733.0000 6
4855.0000 6
4855.0000 11
4859.0000 9
4740.0000 4
4520.0000 10
5152.0000 6
4865.0000 11
5154.0000 8
4453.0000 12
4868.0000 7
4749.0000 8
5157.0000 8
4871.0000 15
4529.0000 6
2403.0000 12
4871.0000 8
3491.0000 6
5161.0000 11
5162.0000 7
4874.0000 8
4186.0000 4
4875.0000 6
4462.0000 8
4876.0000 8
3940.0000 8
4876.0000 11
5165.0000 7
5165.0000 10
3497.0000 11
5166.0000 8
4759.0000 6
4760.0000 4
3725.0000 5
4538.0000 9
5168.0000 11
5170.0000 11
4469.0000 8
3947.0000 6
4883.0000 8
4764.0000 10
5174.0000 9
4198.0000 4
4766.0000 7
2167.0000 8
5174.0000 11
4199.0000 8
4474.0000 5
4767.0000 5
5175.0000 10
5175.0000 8
5175.0000 7
4199.0000 5
4888.0000 12
4889.0000 12
3953.0000 8
4547.0000 5
4890.0000 11
4479.0000 7
4773.0000 7
3676.0000 5
4480.0000 7
3957.0000 7
4480.0000 10
4206.0000 11
4894.0000 9
5182.0000 10
4207.0000 8
5183.0000 8
5184.0000 11
5447.0000 13
3679.0000 8
4555.0000 13
4777.0000 7
4555.0000 8
4556.0000 7
3962.0000 5
3744.0000 6
4211.0000 6
4899.0000 10
3965.0000 7
4488.0000 4
2595.0000 10
4215.0000 13
1768.0000 9
4905.0000 7
4906.0000 10
3970.0000 6
3970.0000 5
3971.0000 8
3755.0000 10
4497.0000 9
4498.0000 10
3975.0000 7
3695.0000 7
4913.0000 8
4500.0000 8
4913.0000 10
4500.0000 4
3978.0000 5
3697.0000 7
3240.0000 5
4914.0000 8
5202.0000 5
3699.0000 6
2609.0000 10
4796.0000 5
4229.0000 12
3700.0000 6
4505.0000 13
3982.0000 4
3983.0000 5
1571.0000 7
4577.0000 15
4577.0000 10
4507.0000 7
4578.0000 5
4507.0000 10
4578.0000 11
3984.0000 10
3247.0000 7
3766.0000 8
3986.0000 7
4234.0000 12
4581.0000 10
5211.0000 11
4582.0000 13
3545.0000 7
4584.0000 12
3372.0000 5
4513.0000 13
4514.0000 7
4586.0000 10
3992.0000 13
4515.0000 9
3992.0000 7
3992.0000 8
3992.0000 7
4516.0000 11
3550.0000 11
4517.0000 8
3550.0000 12
3550.0000 5
5219.0000 12
4518.0000 9
3995.0000 13
4243.0000 3
3552.0000 5
3553.0000 6
4520.0000 6
3553.0000 7
3997.0000 5
3553.0000 10
3553.0000 12
4813.0000 5
3998.0000 8
3260.0000 9
3717.0000 7
4934.0000 5
3085.0000 13
1966.0000 7
3719.0000 6
4000.0000 4
3719.0000 8
4937.0000 9
3720.0000 7
3782.0000 10
4817.0000 10
2550.0000 8
3720.0000 4
4525.0000 11
3721.0000 4
4003.0000 5
4003.0000 8
4526.0000 5
3559.0000 7
5229.0000 9
4941.0000 10
90.0000 5
4005.0000 7
1806.0000 11
4006.0000 12
3727.0000 8
3727.0000 9
4009.0000 11
3272.0000 7
3729.0000 7
3096.0000 7
3567.0000 7
4827.0000 7
4012.0000 8
3098.0000 15
3570.0000 7
2833.0000 7
4538.0000 8
3101.0000 10
4016.0000 12
3279.0000 4
3280.0000 8
3737.0000 9
4954.0000 12
5242.0000 4
2487.0000 12
4956.0000 11
3739.0000 3
4956.0000 13
2649.0000 9
3739.0000 7
4020.0000 12
3107.0000 15
4544.0000 8
4837.0000 5
4022.0000 7
3108.0000 9
4958.0000 8
4023.0000 10
3285.0000 6
4023.0000 8
2652.0000 4
4840.0000 6
3744.0000 12
4548.0000 10
3807.0000 7
3583.0000 12
3583.0000 2
3113.0000 10
4551.0000 9
3747.0000 7
1997.0000 13
3586.0000 11
3749.0000 7
5254.0000 7
3587.0000 10
5255.0000 8
2499.0000 7
3812.0000 6
2661.0000 8
2850.0000 8
3589.0000 11
2501.0000 14
3295.0000 4
3752.0000 6
4849.0000 10
3815.0000 10
1834.0000 13
2502.0000 6
4629.0000 13
3122.0000 10
4036.0000 12
4972.0000 14
3122.0000 12
3123.0000 12
3756.0000 5
4037.0000 8
3757.0000 10
3301.0000 5
3595.0000 8
4287.0000 7
3820.0000 11
3596.0000 7
4563.0000 10
4288.0000 6
3821.0000 11
3760.0000 11
3823.0000 11
3128.0000 11
5267.0000 9
3305.0000 8
3763.0000 11
3825.0000 4
4567.0000 14
3426.0000 12
2863.0000 6
2514.0000 8
2675.0000 8
2514.0000 7
3603.0000 16
5271.0000 5
3430.0000 6
4571.0000 7
4644.0000 10
3136.0000 17
3769.0000 7
2868.0000 6
2519.0000 7
2520.0000 5
4575.0000 5
2520.0000 6
4054.0000 6
2522.0000 8
3610.0000 12
3317.0000 7
3611.0000 13
4055.0000 9
3612.0000 11
4304.0000 12
3612.0000 12
3612.0000 6
2686.0000 3
4580.0000 8
3614.0000 10
3778.0000 13
4059.0000 5
2877.0000 3
3442.0000 8
4309.0000 9
3444.0000 15
3324.0000 7
2693.0000 11
2693.0000 5
3783.0000 9
3326.0000 5
4312.0000 12
2532.0000 8
4313.0000 9
1653.0000 9
2614.0000 6
3784.0000 8
3622.0000 8
2534.0000 14
2616.0000 6
2696.0000 6
2535.0000 3
2536.0000 7
3787.0000 8
2537.0000 4
2036.0000 12
1460.0000 12
3850.0000 8
2698.0000 9
3451.0000 13
2888.0000 6
3452.0000 4
1870.0000 9
3626.0000 7
2539.0000 7
5007.0000 13
2540.0000 6
3853.0000 6
3791.0000 11
3628.0000 9
2701.0000 5
3454.0000 14
3159.0000 10
1960.0000 11
4324.0000 15
3795.0000 9
2544.0000 7
2706.0000 13
3163.0000 12
2545.0000 5
2707.0000 6
1878.0000 5
3859.0000 5
3634.0000 5
2897.0000 5
3165.0000 11
3798.0000 12
1880.0000 15
1668.0000 4
2710.0000 7
3167.0000 3
2710.0000 8
3167.0000 10
3637.0000 12
3464.0000 10
3168.0000 6
3802.0000 8
588.0000 7
4084.0000 9
2552.0000 6
4900.0000 10
4084.0000 9
5021.0000 11
2903.0000 9
2553.0000 5
3642.0000 11
2554.0000 7
2555.0000 13
2906.0000 8
2717.0000 10
5312.0000 10
3807.0000 11
4337.0000 12
4090.0000 9
3352.0000 5
2908.0000 10
1752.0000 5
2059.0000 13
2722.0000 12
2561.0000 11
2911.0000 5
4617.0000 12
3356.0000 8
2912.0000 5
2913.0000 11
4343.0000 8
1307.0000 6
4096.0000 10
2564.0000 7
3183.0000 12
3654.0000 12
2566.0000 7
3879.0000 5
1490.0000 6
2067.0000 12
1491.0000 9
3186.0000 14
2568.0000 6
1762.0000 7
3483.0000 12
1206.0000 7
2571.0000 2
2652.0000 10
4351.0000 13
1903.0000 7
5328.0000 6
1991.0000 14
2924.0000 7
2574.0000 8
4106.0000 6
2655.0000 7
2574.0000 14
2575.0000 6
2736.0000 5
1908.0000 6
1499.0000 6
4108.0000 9
2577.0000 8
2076.0000 10
1500.0000 11
4109.0000 7
2738.0000 8
2077.0000 5
4633.0000 6
2928.0000 8
2078.0000 7
1997.0000 14
2579.0000 10
2580.0000 6
4113.0000 14
2582.0000 5
2582.0000 5
2932.0000 9
75.0000 4
2583.0000 6
2665.0000 9
2934.0000 2
2745.0000 10
2666.0000 8
3674.0000 12
2936.0000 3
411.0000 4
2587.0000 8
3838.0000 11
2938.0000 5
1920.0000 14
1920.0000 8
2750.0000 4
2589.0000 4
2750.0000 9
4937.0000 8
2750.0000 15
3209.0000 8
1923.0000 8
2592.0000 9
1924.0000 8
2341.0000 7
1785.0000 10
1515.0000 13
2342.0000 6
2754.0000 9
2593.0000 5
1714.0000 6
2594.0000 10
2675.0000 4
1517.0000 6
5351.0000 11
1518.0000 11
1231.0000 7
3214.0000 10
3847.0000 10
1789.0000 9
2596.0000 9
3391.0000 9
5065.0000 10
2758.0000 13
2759.0000 4
4130.0000 7
4653.0000 9
2680.0000 10
2680.0000 5
3687.0000 15
1522.0000 13
2761.0000 9
1793.0000 6
3852.0000 12
3689.0000 3
2763.0000 7
3690.0000 12
2602.0000 6
4730.0000 9
2604.0000 7
2954.0000 10
2605.0000 6
2104.0000 5
2105.0000 6
972.0000 7
1350.0000 5
2768.0000 10
1940.0000 11
3228.0000 12
2610.0000 8
434.0000 5
2610.0000 7
