# deliveryTime  hopCount
33.0000 7
44.0000 9
25.0000 7
37.0000 10
49.0000 8
66.0000 14
34.0000 7
29.0000 5
51.0000 8
34.0000 7
26.0000 7
12.0000 3
55.0000 9
29.0000 6
15.0000 4
28.0000 5
20.0000 5
154.0000 6
26.0000 6
19.0000 5
43.0000 10
41.0000 4
25.0000 5
9.0000 2
33.0000 5
115.0000 8
37.0000 6
26.0000 6
24.0000 7
43.0000 9
49.0000 9
49.0000 8
5026.0000 5
4741.0000 9
4624.0000 8
5048.0000 8
4645.0000 10
4768.0000 5
5059.0000 6
4654.0000 6
4777.0000 6
5077.0000 9
4672.0000 8
5080.0000 7
5083.0000 12
4795.0000 6
4795.0000 10
5083.0000 4
5084.0000 6
5085.0000 4
4678.0000 9
4678.0000 5
4678.0000 5
4679.0000 10
4800.0000 6
4801.0000 12
4802.0000 8
5091.0000 6
4683.0000 9
5092.0000 7
5093.0000 5
4686.0000 10
5094.0000 8
4687.0000 8
4808.0000 6
5097.0000 8
5097.0000 12
5097.0000 10
4809.0000 11
5097.0000 4
4809.0000 5
4810.0000 7
5098.0000 9
5098.0000 3
5099.0000 7
4691.0000 5
4692.0000 11
4812.0000 5
4812.0000 9
5100.0000 4
4812.0000 12
4812.0000 6
4813.0000 12
5101.0000 4
4813.0000 6
5101.0000 6
5101.0000 6
4694.0000 7
5102.0000 6
4695.0000 9
5103.0000 10
4695.0000 8
4695.0000 6
4695.0000 7
4695.0000 6
5104.0000 5
5104.0000 7
4696.0000 10
4696.0000 8
5104.0000 9
4816.0000 12
4816.0000 8
4816.0000 5
4697.0000 8
4817.0000 5
5105.0000 4
5105.0000 10
5106.0000 5
4818.0000 4
4699.0000 4
4699.0000 8
4699.0000 7
5107.0000 8
4699.0000 10
4699.0000 5
4699.0000 5
4700.0000 12
5108.0000 7
4820.0000 6
4820.0000 12
4701.0000 4
5109.0000 11
4701.0000 9
5109.0000 10
5110.0000 10
4822.0000 11
5110.0000 7
4822.0000 6
4822.0000 8
5111.0000 5
5111.0000 7
4703.0000 9
4703.0000 7
4824.0000 8
4824.0000 5
5112.0000 7
5112.0000 9
4825.0000 7
4705.0000 11
5113.0000 6
4705.0000 5
5113.0000 2
5113.0000 12
5113.0000 9
5113.0000 9
5114.0000 8
5114.0000 5
4826.0000 4
5114.0000 5
5114.0000 5
5114.0000 7
5114.0000 9
4826.0000 11
4707.0000 6
4827.0000 8
5115.0000 9
4827.0000 9
5115.0000 10
5115.0000 7
4827.0000 10
4827.0000 9
4828.0000 5
4828.0000 5
5116.0000 6
4708.0000 8
4828.0000 12
4708.0000 6
4828.0000 12
5117.0000 12
4709.0000 7
4829.0000 13
5117.0000 5
5117.0000 10
4709.0000 9
5117.0000 10
4709.0000 10
4709.0000 8
4709.0000 7
5117.0000 4
4709.0000 8
4709.0000 5
4710.0000 5
4710.0000 8
4710.0000 6
4710.0000 7
5118.0000 12
4710.0000 7
4710.0000 4
4711.0000 9
5119.0000 9
5119.0000 5
4711.0000 3
4711.0000 10
4831.0000 8
5119.0000 9
4711.0000 10
5119.0000 7
4831.0000 9
4832.0000 6
4832.0000 9
5120.0000 5
5120.0000 4
5120.0000 5
5120.0000 5
4832.0000 10
5120.0000 11
4832.0000 6
4832.0000 5
4832.0000 4
4832.0000 9
4832.0000 12
4832.0000 8
5120.0000 7
4832.0000 5
5121.0000 6
5121.0000 10
4713.0000 6
5121.0000 4
4833.0000 12
5121.0000 9
4713.0000 8
4833.0000 10
5121.0000 8
5121.0000 6
4833.0000 10
4834.0000 7
5122.0000 6
5122.0000 12
5122.0000 9
5122.0000 4
4834.0000 12
5122.0000 5
4834.0000 5
4834.0000 8
5122.0000 7
4714.0000 7
4834.0000 8
4834.0000 8
5122.0000 10
5122.0000 8
4834.0000 10
4835.0000 10
4715.0000 10
4715.0000 7
4835.0000 11
5123.0000 7
5123.0000 5
4835.0000 7
4835.0000 12
4835.0000 11
4835.0000 9
4835.0000 11
5123.0000 10
4835.0000 6
4715.0000 7
4715.0000 7
4836.0000 9
4716.0000 9
5124.0000 7
4716.0000 8
4716.0000 7
5124.0000 10
5124.0000 7
4716.0000 4
4716.0000 6
4716.0000 11
5124.0000 7
5124.0000 6
4717.0000 5
5125.0000 9
5125.0000 8
4717.0000 7
4717.0000 4
4717.0000 6
4717.0000 9
4717.0000 9
4717.0000 10
4837.0000 9
4717.0000 3
4717.0000 10
4717.0000 11
4717.0000 6
5125.0000 8
5125.0000 10
5125.0000 10
4717.0000 8
5125.0000 9
5126.0000 4
4718.0000 8
4718.0000 7
4838.0000 11
5126.0000 8
4718.0000 9
5126.0000 6
5126.0000 6
5126.0000 9
5126.0000 5
4718.0000 9
4718.0000 8
4718.0000 4
4718.0000 5
4718.0000 5
4718.0000 6
5126.0000 7
4838.0000 7
4838.0000 8
5126.0000 5
5126.0000 5
4839.0000 10
5127.0000 10
4839.0000 9
4839.0000 11
5127.0000 5
4839.0000 6
5127.0000 12
4839.0000 11
5127.0000 6
5127.0000 7
5128.0000 4
4840.0000 7
5128.0000 5
4840.0000 9
4840.0000 5
4840.0000 2
5128.0000 12
5128.0000 8
4840.0000 8
4840.0000 14
4840.0000 12
4840.0000 9
4840.0000 8
4840.0000 5
4840.0000 6
4840.0000 11
4840.0000 5
4841.0000 4
4841.0000 13
5129.0000 6
4721.0000 7
5129.0000 10
4841.0000 7
5129.0000 6
5129.0000 4
4721.0000 7
4721.0000 4
4841.0000 12
4721.0000 8
4721.0000 8
5129.0000 6
4721.0000 6
5129.0000 7
4721.0000 8
4841.0000 4
5129.0000 11
4841.0000 5
4841.0000 8
4842.0000 7
4842.0000 10
5130.0000 5
4722.0000 9
5130.0000 8
5130.0000 8
5130.0000 9
4842.0000 10
4722.0000 7
5130.0000 7
4722.0000 9
4842.0000 5
4842.0000 9
4842.0000 13
4842.0000 8
5130.0000 10
4843.0000 10
5131.0000 7
4723.0000 6
4723.0000 10
5131.0000 5
4723.0000 7
4843.0000 5
4843.0000 10
4723.0000 10
5131.0000 9
4843.0000 7
5131.0000 11
4843.0000 3
4723.0000 6
4723.0000 5
4724.0000 8
4844.0000 6
4844.0000 9
4844.0000 6
5132.0000 6
4844.0000 5
4844.0000 12
4844.0000 9
5132.0000 4
4844.0000 11
4724.0000 9
4844.0000 11
4844.0000 8
4844.0000 8
4844.0000 7
5132.0000 4
5132.0000 7
4725.0000 6
5133.0000 6
4845.0000 10
4725.0000 5
4845.0000 7
5133.0000 10
4725.0000 3
4845.0000 9
4725.0000 7
4725.0000 7
4845.0000 7
4725.0000 7
4845.0000 13
4845.0000 9
5134.0000 7
4726.0000 3
4846.0000 9
5134.0000 9
5134.0000 7
4726.0000 6
5134.0000 7
4726.0000 4
4726.0000 5
4726.0000 13
4726.0000 5
4726.0000 6
4726.0000 10
4726.0000 6
4846.0000 8
5134.0000 9
5135.0000 4
4727.0000 5
5135.0000 5
4847.0000 13
4847.0000 8
5135.0000 9
5135.0000 4
5135.0000 11
4727.0000 5
5135.0000 5
4727.0000 4
4727.0000 8
5135.0000 6
4727.0000 4
4847.0000 5
4847.0000 4
5135.0000 4
5135.0000 9
5135.0000 2
4848.0000 13
4728.0000 7
5136.0000 6
4848.0000 11
5136.0000 10
4728.0000 5
5136.0000 9
5136.0000 5
5136.0000 7
4728.0000 9
4728.0000 4
5136.0000 6
5136.0000 5
5136.0000 10
4728.0000 6
5137.0000 11
4849.0000 7
4849.0000 10
4729.0000 3
5137.0000 11
5137.0000 12
4849.0000 6
4849.0000 12
5137.0000 11
4849.0000 10
5137.0000 7
4849.0000 6
4849.0000 7
4729.0000 9
4730.0000 5
4730.0000 6
4730.0000 5
5138.0000 7
4850.0000 9
4850.0000 8
4850.0000 7
4850.0000 4
4850.0000 9
4850.0000 10
5138.0000 8
4850.0000 14
5138.0000 4
4730.0000 6
4850.0000 8
4730.0000 6
5138.0000 5
5138.0000 9
5138.0000 8
5138.0000 8
4850.0000 7
4730.0000 3
5139.0000 5
5139.0000 12
4731.0000 4
5139.0000 13
5139.0000 6
4731.0000 12
5139.0000 9
5139.0000 12
4731.0000 9
4851.0000 7
5139.0000 6
4731.0000 4
4731.0000 9
4731.0000 9
4731.0000 3
4731.0000 3
4732.0000 6
4732.0000 6
4852.0000 10
5140.0000 11
4732.0000 6
4852.0000 10
4732.0000 6
4732.0000 6
4852.0000 8
5140.0000 10
4853.0000 10
4853.0000 8
4733.0000 6
4733.0000 7
4853.0000 9
4733.0000 7
4853.0000 4
4853.0000 11
5141.0000 6
4853.0000 6
4853.0000 5
5141.0000 8
4733.0000 9
4733.0000 6
4733.0000 5
4733.0000 5
4853.0000 9
4733.0000 13
4733.0000 4
4733.0000 7
5141.0000 4
4853.0000 4
4734.0000 9
4854.0000 8
4854.0000 13
5142.0000 5
4854.0000 11
4734.0000 9
4734.0000 8
4734.0000 7
4854.0000 7
