# time  hit_cache  total_cache  hit_cache/total_cache
88.0000 0 0 NaN
91.0000 0 0 NaN
91.0000 0 0 NaN
94.0000 0 0 NaN
94.0000 0 0 NaN
94.0000 0 0 NaN
94.0000 0 0 NaN
97.0000 0 0 NaN
97.0000 0 0 NaN
97.0000 0 0 NaN
100.0000 0 0 NaN
100.0000 0 0 NaN
100.0000 0 0 NaN
100.0000 0 0 NaN
100.0000 0 0 NaN
103.0000 0 0 NaN
103.0000 0 0 NaN
103.0000 0 0 NaN
103.0000 0 0 NaN
103.0000 0 0 NaN
103.0000 0 0 NaN
103.0000 0 0 NaN
103.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
106.0000 0 0 NaN
107.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
109.0000 0 0 NaN
110.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
112.0000 0 0 NaN
113.0000 0 0 NaN
113.0000 0 0 NaN
114.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
115.0000 0 0 NaN
116.0000 0 0 NaN
116.0000 0 0 NaN
116.0000 0 0 NaN
117.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
118.0000 0 0 NaN
119.0000 0 0 NaN
119.0000 0 0 NaN
119.0000 0 0 NaN
119.0000 0 0 NaN
119.0000 0 0 NaN
119.0000 0 0 NaN
120.0000 0 0 NaN
120.0000 0 0 NaN
120.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
121.0000 0 0 NaN
122.0000 0 0 NaN
122.0000 0 0 NaN
122.0000 0 0 NaN
122.0000 0 0 NaN
122.0000 0 0 NaN
122.0000 0 0 NaN
122.0000 0 0 NaN
